Domain,Energy (micro joules),Duration (s)
package-0,150695,0.0036821365356445312
dram-0,23731,0.0036821365356445312
package-1,118957,0.0036821365356445312
dram-1,13250,0.0036821365356445312
package-0,122681,0.0023729801177978516
dram-0,17656,0.0023729801177978516
package-1,60486,0.0023729801177978516
dram-1,6915,0.0023729801177978516
package-0,119445,0.0025861263275146484
dram-0,17427,0.0025861263275146484
package-1,91858,0.0025861263275146484
dram-1,10924,0.0025861263275146484
package-0,156921,0.0031805038452148438
dram-0,16600,0.0031805038452148438
package-1,117370,0.0031805038452148438
dram-1,13342,0.0031805038452148438
package-0,90637,0.0025403499603271484
dram-0,15331,0.0025403499603271484
package-1,62622,0.0025403499603271484
dram-1,7451,0.0025403499603271484
package-0,84717,0.0025146007537841797
dram-0,11138,0.0025146007537841797
package-1,57190,0.0025146007537841797
dram-1,6594,0.0025146007537841797
package-0,114868,0.003412008285522461
dram-0,22048,0.003412008285522461
package-1,115173,0.003412008285522461
dram-1,13326,0.003412008285522461
package-0,120239,0.0023908615112304688
dram-0,17458,0.0023908615112304688
package-1,84289,0.0023908615112304688
dram-1,6503,0.0023908615112304688
package-0,123047,0.0033180713653564453
dram-0,17518,0.0033180713653564453
package-1,83557,0.0033180713653564453
dram-1,10160,0.0033180713653564453
package-0,80994,0.0022907257080078125
dram-0,10848,0.0022907257080078125
package-1,58227,0.0022907257080078125
dram-1,6503,0.0022907257080078125
package-0,91674,0.0027549266815185547
dram-0,19140,0.0027549266815185547
package-1,89294,0.0027549266815185547
dram-1,10526,0.0027549266815185547
package-0,120605,0.0029599666595458984
dram-0,16999,0.0029599666595458984
package-1,89721,0.0029599666595458984
dram-1,10756,0.0029599666595458984
package-0,118225,0.0023789405822753906
dram-0,17641,0.0023789405822753906
package-1,92529,0.0023789405822753906
dram-1,11184,0.0023789405822753906
package-0,163146,0.004244565963745117
dram-0,23455,0.004244565963745117
package-1,116699,0.004244565963745117
dram-1,13464,0.004244565963745117
package-0,124755,0.002802610397338867
dram-0,16708,0.002802610397338867
package-1,82641,0.002802610397338867
dram-1,9762,0.002802610397338867
package-0,78857,0.0022797584533691406
dram-0,11016,0.0022797584533691406
package-1,57190,0.0022797584533691406
dram-1,6487,0.0022797584533691406
package-0,83008,0.002567291259765625
dram-0,12041,0.002567291259765625
package-1,87769,0.002567291259765625
dram-1,10235,0.002567291259765625
package-0,126831,0.0025548934936523438
dram-0,18513,0.0025548934936523438
package-1,85388,0.0025548934936523438
dram-1,10312,0.0025548934936523438
package-0,83008,0.0025043487548828125
dram-0,11765,0.0025043487548828125
package-1,57740,0.0025043487548828125
dram-1,6762,0.0025043487548828125
package-0,79468,0.0023419857025146484
dram-0,11093,0.0023419857025146484
package-1,57312,0.0023419857025146484
dram-1,6502,0.0023419857025146484
package-0,84045,0.0024080276489257812
dram-0,11949,0.0024080276489257812
package-1,83496,0.0024080276489257812
dram-1,10190,0.0024080276489257812
package-0,117065,0.002538919448852539
dram-0,17013,0.002538919448852539
package-1,84533,0.002538919448852539
dram-1,9961,0.002538919448852539
package-0,120300,0.0026471614837646484
dram-0,11842,0.0026471614837646484
package-1,91980,0.0026471614837646484
dram-1,10022,0.0026471614837646484
package-0,73913,0.002341032028198242
dram-0,11107,0.002341032028198242
package-1,57129,0.002341032028198242
dram-1,6518,0.002341032028198242
package-0,80017,0.0022401809692382812
dram-0,12393,0.0022401809692382812
package-1,75988,0.0022401809692382812
dram-1,7757,0.0022401809692382812
package-0,164428,0.0037953853607177734
dram-0,24511,0.0037953853607177734
package-1,122559,0.0037953853607177734
dram-1,14336,0.0037953853607177734
package-0,120117,0.0023539066314697266
dram-0,16371,0.0023539066314697266
package-1,85571,0.0023539066314697266
dram-1,9914,0.0023539066314697266
package-0,122253,0.0025310516357421875
dram-0,17657,0.0025310516357421875
package-1,88256,0.0025310516357421875
dram-1,10113,0.0025310516357421875
package-0,79712,0.0026073455810546875
dram-0,11246,0.0026073455810546875
package-1,55298,0.0026073455810546875
dram-1,6503,0.0026073455810546875
package-0,125305,0.0031147003173828125
dram-0,17396,0.0031147003173828125
package-1,89844,0.0031147003173828125
dram-1,10220,0.0031147003173828125


pkg_0:  [150695, 122681, 119445, 156921, 90637, 84717, 114868, 120239, 123047, 80994, 91674, 120605, 118225, 163146, 124755, 78857, 83008, 126831, 83008, 79468, 84045, 117065, 120300, 73913, 80017, 164428, 120117, 122253, 79712, 125305]
pkg_1:  [118957, 60486, 91858, 117370, 62622, 57190, 115173, 84289, 83557, 58227, 89294, 89721, 92529, 116699, 82641, 57190, 87769, 85388, 57740, 57312, 83496, 84533, 91980, 57129, 75988, 122559, 85571, 88256, 55298, 89844]
dram_0:  [23731, 17656, 17427, 16600, 15331, 11138, 22048, 17458, 17518, 10848, 19140, 16999, 17641, 23455, 16708, 11016, 12041, 18513, 11765, 11093, 11949, 17013, 11842, 11107, 12393, 24511, 16371, 17657, 11246, 17396]
dram_1:  [13250, 6915, 10924, 13342, 7451, 6594, 13326, 6503, 10160, 6503, 10526, 10756, 11184, 13464, 9762, 6487, 10235, 10312, 6762, 6502, 10190, 9961, 10022, 6518, 7757, 14336, 9914, 10113, 6503, 10220]
Average energy for package-0: 0.1106992 microjoules
Average energy for package-1: 0.08335553333333333 microjoules
Average energy for dram-0: 0.01598703333333333 microjoules
Average energy for dram-1: 0.009549733333333333 microjoules


Total Package Energy: 5.821642 joules
Total Dram Energy: 0.766103 joules


Total Package Energy: 0.5821642 joules
Total Dram Energy: 0.07661029999999999 joules
