Domain,Energy (micro joules),Duration (s)
package-0,1290097,0.029622316360473633
dram-0,142994,0.029622316360473633
package-1,889402,0.029622316360473633
dram-1,100674,0.029622316360473633
package-0,1319393,0.029872417449951172
dram-0,140592,0.029872417449951172
package-1,885191,0.029872417449951172
dram-1,98639,0.029872417449951172
package-0,1319089,0.030458927154541016
dram-0,139689,0.030458927154541016
package-1,888426,0.030458927154541016
dram-1,98532,0.030458927154541016
package-0,1327817,0.030112743377685547
dram-0,151990,0.030112743377685547
package-1,895323,0.030112743377685547
dram-1,102403,0.030112743377685547
package-0,1319699,0.0302579402923584
dram-0,148119,0.0302579402923584
package-1,890439,0.0302579402923584
dram-1,99327,0.0302579402923584
package-0,1313229,0.030188560485839844
dram-0,141662,0.030188560485839844
package-1,895445,0.030188560485839844
dram-1,98976,0.030188560485839844
package-0,1317929,0.029905080795288086
dram-0,139306,0.029905080795288086
package-1,853209,0.029905080795288086
dram-1,94998,0.029905080795288086
package-0,1316463,0.030187606811523438
dram-0,140715,0.030187606811523438
package-1,890379,0.030187606811523438
dram-1,98685,0.030187606811523438
package-0,1373348,0.030972957611083984
dram-0,158202,0.030972957611083984
package-1,931150,0.030972957611083984
dram-1,104851,0.030972957611083984
package-0,1413876,0.03192615509033203
dram-0,161828,0.03192615509033203
package-1,967161,0.03192615509033203
dram-1,109609,0.03192615509033203
package-0,1332394,0.030266523361206055
dram-0,141556,0.030266523361206055
package-1,892820,0.030266523361206055
dram-1,98639,0.030266523361206055
package-0,1335141,0.029825210571289062
dram-0,142458,0.029825210571289062
package-1,892209,0.029825210571289062
dram-1,95120,0.029825210571289062
package-0,1330685,0.02991461753845215
dram-0,141617,0.02991461753845215
package-1,894224,0.02991461753845215
dram-1,98685,0.02991461753845215
package-0,1372738,0.030214786529541016
dram-0,161721,0.030214786529541016
package-1,883054,0.030214786529541016
dram-1,100918,0.030214786529541016
package-0,1318295,0.03004598617553711
dram-0,142290,0.03004598617553711
package-1,893125,0.03004598617553711
dram-1,99542,0.03004598617553711
package-0,1312680,0.029860973358154297
dram-0,142841,0.029860973358154297
package-1,864805,0.029860973358154297
dram-1,95380,0.029860973358154297
package-0,1319882,0.030052661895751953
dram-0,142505,0.030052661895751953
package-1,894773,0.030052661895751953
dram-1,99021,0.030052661895751953
package-0,1354184,0.030689477920532227
dram-0,149068,0.030689477920532227
package-1,882017,0.030689477920532227
dram-1,98899,0.030689477920532227
package-0,1326229,0.03008294105529785
dram-0,148808,0.03008294105529785
package-1,892148,0.03008294105529785
dram-1,99343,0.03008294105529785
package-0,1315792,0.03002452850341797
dram-0,140806,0.03002452850341797
package-1,885374,0.03002452850341797
dram-1,98180,0.03002452850341797
package-0,1316830,0.03086566925048828
dram-0,142458,0.03086566925048828
package-1,910703,0.03086566925048828
dram-1,102204,0.03086566925048828
package-0,1350094,0.03041553497314453
dram-0,146834,0.03041553497314453
package-1,882688,0.03041553497314453
dram-1,98486,0.03041553497314453
package-0,1365963,0.030605316162109375
dram-0,151806,0.030605316162109375
package-1,899167,0.030605316162109375
dram-1,101348,0.030605316162109375
package-0,1774715,0.03142404556274414
dram-0,159472,0.03142404556274414
package-1,1256528,0.03142404556274414
dram-1,106411,0.03142404556274414
package-0,1323117,0.030650615692138672
dram-0,143484,0.030650615692138672
package-1,910703,0.030650615692138672
dram-1,101776,0.030650615692138672
package-0,1312497,0.02978968620300293
dram-0,140531,0.02978968620300293
package-1,901487,0.02978968620300293
dram-1,99083,0.02978968620300293
package-0,1297482,0.030311107635498047
dram-0,142260,0.030311107635498047
package-1,881955,0.030311107635498047
dram-1,98470,0.030311107635498047
package-0,1316098,0.03013324737548828
dram-0,141448,0.03013324737548828
package-1,885923,0.03013324737548828
dram-1,99480,0.03013324737548828
package-0,1329525,0.030524492263793945
dram-0,156152,0.030524492263793945
package-1,891783,0.030524492263793945
dram-1,101179,0.030524492263793945
package-0,1317807,0.02960944175720215
dram-0,134151,0.02960944175720215
package-1,859128,0.02960944175720215
dram-1,95166,0.02960944175720215

pkg_0:  [1290097, 1319393, 1319089, 1327817, 1319699, 1313229, 1317929, 1316463, 1373348, 1413876, 1332394, 1335141, 1330685, 1372738, 1318295, 1312680, 1319882, 1354184, 1326229, 1315792, 1316830, 1350094, 1365963, 1774715, 1323117, 1312497, 1297482, 1316098, 1329525, 1317807]
pkg_1:  [889402, 885191, 888426, 895323, 890439, 895445, 853209, 890379, 931150, 967161, 892820, 892209, 894224, 883054, 893125, 864805, 894773, 882017, 892148, 885374, 910703, 882688, 899167, 1256528, 910703, 901487, 881955, 885923, 891783, 859128]
dram_0:  [142994, 140592, 139689, 151990, 148119, 141662, 139306, 140715, 158202, 161828, 141556, 142458, 141617, 161721, 142290, 142841, 142505, 149068, 148808, 140806, 142458, 146834, 151806, 159472, 143484, 140531, 142260, 141448, 156152, 134151]
dram_1:  [100674, 98639, 98532, 102403, 99327, 98976, 94998, 98685, 104851, 109609, 98639, 95120, 98685, 100918, 99542, 95380, 99021, 98899, 99343, 98180, 102204, 98486, 101348, 106411, 101776, 99083, 98470, 99480, 101179, 95166]
Average energy for package-0: 1.3444362666666665 microjoules
Average energy for package-1: 0.9046913 microjoules
Average energy for dram-0: 0.1459121 microjoules
Average energy for dram-1: 0.0998008 microjoules


Total Package Energy: 67.473827 joules
Total Dram Energy: 7.371387 joules


Total Package Energy: 6.747382699999999 joules
Total Dram Energy: 0.7371387 joules
