Domain,Energy (micro joules),Duration (s)
package-0,1460202,0.030888080596923828
dram-0,171865,0.030888080596923828
package-1,901548,0.030888080596923828
dram-1,104759,0.030888080596923828
package-0,1355161,0.030943632125854492
dram-0,171085,0.030943632125854492
package-1,1005063,0.030943632125854492
dram-1,124099,0.030943632125854492
package-0,1314206,0.030264616012573242
dram-0,140791,0.030264616012573242
package-1,917356,0.030264616012573242
dram-1,102418,0.030264616012573242
package-0,1306698,0.029719114303588867
dram-0,141463,0.029719114303588867
package-1,892575,0.029719114303588867
dram-1,99297,0.029719114303588867
package-0,1307126,0.03006887435913086
dram-0,140653,0.03006887435913086
package-1,889097,0.03006887435913086
dram-1,99175,0.03006887435913086
package-0,1337521,0.03008270263671875
dram-0,162302,0.03008270263671875
package-1,951719,0.03008270263671875
dram-1,112027,0.03008270263671875
package-0,1324459,0.030046939849853516
dram-0,148532,0.030046939849853516
package-1,894834,0.030046939849853516
dram-1,101485,0.030046939849853516
package-0,1311093,0.03012251853942871
dram-0,139551,0.03012251853942871
package-1,882811,0.03012251853942871
dram-1,98118,0.03012251853942871
package-0,1272702,0.029009580612182617
dram-0,134074,0.029009580612182617
package-1,856321,0.029009580612182617
dram-1,94906,0.029009580612182617
package-0,1384152,0.030370473861694336
dram-0,152679,0.030370473861694336
package-1,995481,0.030370473861694336
dram-1,113557,0.030370473861694336
package-0,1385434,0.030989646911621094
dram-0,158584,0.030989646911621094
package-1,954709,0.030989646911621094
dram-1,105799,0.030989646911621094
package-0,1537288,0.029786109924316406
dram-0,152419,0.029786109924316406
package-1,1083493,0.029786109924316406
dram-1,105784,0.029786109924316406
package-0,1348569,0.030712127685546875
dram-0,146712,0.030712127685546875
package-1,905454,0.030712127685546875
dram-1,101715,0.030712127685546875
package-0,1225339,0.028957128524780273
dram-0,136139,0.028957128524780273
package-1,854246,0.028957128524780273
dram-1,95855,0.028957128524780273
package-0,1256589,0.02961564064025879
dram-0,139674,0.02961564064025879
package-1,840086,0.02961564064025879
dram-1,98639,0.02961564064025879
package-0,1369138,0.030660629272460938
dram-0,157345,0.030660629272460938
package-1,949948,0.030660629272460938
dram-1,109915,0.030660629272460938
package-0,1263302,0.029637575149536133
dram-0,133875,0.029637575149536133
package-1,847471,0.029637575149536133
dram-1,94982,0.029637575149536133
package-0,1313779,0.030127286911010742
dram-0,140193,0.030127286911010742
package-1,854124,0.030127286911010742
dram-1,94493,0.030127286911010742
package-0,1259884,0.029155969619750977
dram-0,135359,0.029155969619750977
package-1,855039,0.029155969619750977
dram-1,95365,0.029155969619750977
package-0,1275082,0.029371976852416992
dram-0,135130,0.029371976852416992
package-1,856077,0.029371976852416992
dram-1,96344,0.029371976852416992
package-0,1322934,0.03048849105834961
dram-0,157284,0.03048849105834961
package-1,886594,0.03048849105834961
dram-1,101271,0.03048849105834961
package-0,1343930,0.030706405639648438
dram-0,145778,0.030706405639648438
package-1,952512,0.030706405639648438
dram-1,105738,0.030706405639648438
package-0,1272579,0.029361963272094727
dram-0,136568,0.029361963272094727
package-1,861876,0.029361963272094727
dram-1,100735,0.029361963272094727
package-0,1261227,0.029010295867919922
dram-0,133691,0.029010295867919922
package-1,824216,0.029010295867919922
dram-1,90851,0.029010295867919922
package-0,1266171,0.029229164123535156
dram-0,134671,0.029229164123535156
package-1,853574,0.029229164123535156
dram-1,95395,0.029229164123535156
package-0,1364194,0.03128623962402344
dram-0,159289,0.03128623962402344
package-1,915769,0.03128623962402344
dram-1,103964,0.03128623962402344
package-0,1267209,0.029072046279907227
dram-0,134150,0.029072046279907227
package-1,848691,0.029072046279907227
dram-1,95136,0.029072046279907227
package-0,1268125,0.029639005661010742
dram-0,141143,0.029639005661010742
package-1,854307,0.029639005661010742
dram-1,98930,0.029639005661010742
package-0,1304929,0.03002619743347168
dram-0,140729,0.03002619743347168
package-1,875792,0.03002619743347168
dram-1,98348,0.03002619743347168
package-0,1267575,0.029555559158325195
dram-0,135298,0.029555559158325195
package-1,867307,0.029555559158325195
dram-1,95472,0.029555559158325195

pkg_0:  [1460202, 1355161, 1314206, 1306698, 1307126, 1337521, 1324459, 1311093, 1272702, 1384152, 1385434, 1537288, 1348569, 1225339, 1256589, 1369138, 1263302, 1313779, 1259884, 1275082, 1322934, 1343930, 1272579, 1261227, 1266171, 1364194, 1267209, 1268125, 1304929, 1267575]
pkg_1:  [901548, 1005063, 917356, 892575, 889097, 951719, 894834, 882811, 856321, 995481, 954709, 1083493, 905454, 854246, 840086, 949948, 847471, 854124, 855039, 856077, 886594, 952512, 861876, 824216, 853574, 915769, 848691, 854307, 875792, 867307]
dram_0:  [171865, 171085, 140791, 141463, 140653, 162302, 148532, 139551, 134074, 152679, 158584, 152419, 146712, 136139, 139674, 157345, 133875, 140193, 135359, 135130, 157284, 145778, 136568, 133691, 134671, 159289, 134150, 141143, 140729, 135298]
dram_1:  [104759, 124099, 102418, 99297, 99175, 112027, 101485, 98118, 94906, 113557, 105799, 105784, 101715, 95855, 98639, 109915, 94982, 94493, 95365, 96344, 101271, 105738, 100735, 90851, 95395, 103964, 95136, 98930, 98348, 95472]
Average energy for package-0: 1.3182198999999999 microjoules
Average energy for package-1: 0.8976029999999999 microjoules
Average energy for dram-0: 0.14523419999999998 microjoules
Average energy for dram-1: 0.10115239999999999 microjoules


Total Package Energy: 66.47468699999999 joules
Total Dram Energy: 7.391597999999999 joules


Total Package Energy: 6.647468699999999 joules
Total Dram Energy: 0.7391597999999999 joules
