Domain,Energy (micro joules),Duration (s)
package-0,82519,0.0016362667083740234
dram-0,11811,0.0016362667083740234
package-1,58411,0.0016362667083740234
dram-1,6747,0.0016362667083740234
package-0,35522,0.0008387565612792969
dram-0,6059,0.0008387565612792969
package-1,28137,0.0008387565612792969
dram-1,3535,0.0008387565612792969
package-0,36011,0.0008225440979003906
dram-0,5722,0.0008225440979003906
package-1,30518,0.0008225440979003906
dram-1,3259,0.0008225440979003906
package-0,76538,0.0021097660064697266
dram-0,11613,0.0021097660064697266
package-1,60242,0.0021097660064697266
dram-1,6625,0.0021097660064697266
package-0,35401,0.0008821487426757812
dram-0,5921,0.0008821487426757812
package-1,25757,0.0008821487426757812
dram-1,3305,0.0008821487426757812
package-0,39734,0.0008423328399658203
dram-0,5691,0.0008423328399658203
package-1,30578,0.0008423328399658203
dram-1,3321,0.0008423328399658203
package-0,83313,0.0020885467529296875
dram-0,12179,0.0020885467529296875
package-1,60119,0.0020885467529296875
dram-1,7252,0.0020885467529296875
package-0,0,0.0008995532989501953
dram-0,5814,0.0008995532989501953
package-1,28625,0.0008995532989501953
dram-1,3243,0.0008995532989501953
package-0,39367,0.0008075237274169922
dram-0,5890,0.0008075237274169922
package-1,28443,0.0008075237274169922
dram-1,3259,0.0008075237274169922
package-0,78796,0.0019986629486083984
dram-0,11613,0.0019986629486083984
package-1,56824,0.0019986629486083984
dram-1,6702,0.0019986629486083984
package-0,37903,0.0008370876312255859
dram-0,5600,0.0008370876312255859
package-1,27160,0.0008370876312255859
dram-1,3289,0.0008370876312255859
package-0,0,0.0008304119110107422
dram-0,0,0.0008304119110107422
package-1,32959,0.0008304119110107422
dram-1,3213,0.0008304119110107422
package-0,74951,0.002211332321166992
dram-0,11475,0.002211332321166992
package-1,58410,0.002211332321166992
dram-1,6503,0.002211332321166992
package-0,0,0.0008504390716552734
dram-0,0,0.0008504390716552734
package-1,0,0.0008504390716552734
dram-1,0,0.0008504390716552734
package-0,38330,0.0014979839324951172
dram-0,5554,0.0014979839324951172
package-1,27465,0.0014979839324951172
dram-1,3259,0.0014979839324951172
package-0,73547,0.001997709274291992
dram-0,11705,0.001997709274291992
package-1,65673,0.001997709274291992
dram-1,6671,0.001997709274291992
package-0,54443,0.0007948875427246094
dram-0,5952,0.0007948875427246094
package-1,38513,0.0007948875427246094
dram-1,4314,0.0007948875427246094
package-0,71472,0.0009014606475830078
dram-0,5936,0.0009014606475830078
package-1,31128,0.0009014606475830078
dram-1,3350,0.0009014606475830078
package-0,114136,0.0022382736206054688
dram-0,17059,0.0022382736206054688
package-1,82642,0.0022382736206054688
dram-1,6503,0.0022382736206054688
package-0,40344,0.0008664131164550781
dram-0,5523,0.0008664131164550781
package-1,31311,0.0008664131164550781
dram-1,3320,0.0008664131164550781
package-0,74341,0.0011844635009765625
dram-0,10848,0.0011844635009765625
package-1,29663,0.0011844635009765625
dram-1,3259,0.0011844635009765625
package-0,37536,0.0018706321716308594
dram-0,6029,0.0018706321716308594
package-1,58105,0.0018706321716308594
dram-1,6534,0.0018706321716308594
package-0,39551,0.0007493495941162109
dram-0,5676,0.0007493495941162109
package-1,27039,0.0007493495941162109
dram-1,3259,0.0007493495941162109
package-0,39795,0.0008544921875
dram-0,6196,0.0008544921875
package-1,29724,0.0008544921875
dram-1,3305,0.0008544921875
package-0,76599,0.0019388198852539062
dram-0,11429,0.0019388198852539062
package-1,29480,0.0019388198852539062
dram-1,6594,0.0019388198852539062
package-0,0,0.0008280277252197266
dram-0,0,0.0008280277252197266
package-1,0,0.0008280277252197266
dram-1,0,0.0008280277252197266
package-0,0,0.0008409023284912109
dram-0,0,0.0008409023284912109
package-1,27466,0.0008409023284912109
dram-1,3259,0.0008409023284912109
package-0,79040,0.001912832260131836
dram-0,11445,0.001912832260131836
package-1,59082,0.001912832260131836
dram-1,6686,0.001912832260131836
package-0,47241,0.0008246898651123047
dram-0,5646,0.0008246898651123047
package-1,28320,0.0008246898651123047
dram-1,3259,0.0008246898651123047
package-0,39795,0.0008685588836669922
dram-0,5859,0.0008685588836669922
package-1,0,0.0008685588836669922
dram-1,3259,0.0008685588836669922

pkg_0:  [82519, 35522, 36011, 76538, 35401, 39734, 83313, 0, 39367, 78796, 37903, 0, 74951, 0, 38330, 73547, 54443, 71472, 114136, 40344, 74341, 37536, 39551, 39795, 76599, 0, 0, 79040, 47241, 39795]
pkg_1:  [58411, 28137, 30518, 60242, 25757, 30578, 60119, 28625, 28443, 56824, 27160, 32959, 58410, 0, 27465, 65673, 38513, 31128, 82642, 31311, 29663, 58105, 27039, 29724, 29480, 0, 27466, 59082, 28320, 0]
dram_0:  [11811, 6059, 5722, 11613, 5921, 5691, 12179, 5814, 5890, 11613, 5600, 0, 11475, 0, 5554, 11705, 5952, 5936, 17059, 5523, 10848, 6029, 5676, 6196, 11429, 0, 0, 11445, 5646, 5859]
dram_1:  [6747, 3535, 3259, 6625, 3305, 3321, 7252, 3243, 3259, 6702, 3289, 3213, 6503, 0, 3259, 6671, 4314, 3350, 6503, 3320, 3259, 6534, 3259, 3305, 6594, 0, 3259, 6686, 3259, 3259]
Average energy for package-0: 0.04820749999999999 microjoules
Average energy for package-1: 0.036393133333333334 microjoules
Average energy for dram-0: 0.007141499999999999 microjoules
Average energy for dram-1: 0.004236133333333334 microjoules


Total Package Energy: 2.538019 joules
Total Dram Energy: 0.341329 joules


Total Package Energy: 0.25380189999999997 joules
Total Dram Energy: 0.0341329 joules
