Domain,Energy (micro joules),Duration (s)
package-0,83130,0.0016841888427734375
dram-0,11964,0.0016841888427734375
package-1,56274,0.0016841888427734375
dram-1,6762,0.0016841888427734375
package-0,89660,0.0017504692077636719
dram-0,12118,0.0017504692077636719
package-1,58044,0.0017504692077636719
dram-1,6931,0.0017504692077636719
package-0,41687,0.0017502307891845703
dram-0,5478,0.0017502307891845703
package-1,26794,0.0017502307891845703
dram-1,3259,0.0017502307891845703
package-0,78247,0.0015974044799804688
dram-0,10511,0.0015974044799804688
package-1,54260,0.0015974044799804688
dram-1,6518,0.0015974044799804688
package-0,46570,0.0016827583312988281
dram-0,5798,0.0016827583312988281
package-1,70007,0.0016827583312988281
dram-1,7053,0.0016827583312988281
package-0,46020,0.0018498897552490234
dram-0,14489,0.0018498897552490234
package-1,55725,0.0018498897552490234
dram-1,8369,0.0018498897552490234
package-0,47669,0.001638174057006836
dram-0,5309,0.001638174057006836
package-1,58411,0.001638174057006836
dram-1,6487,0.001638174057006836
package-0,87769,0.0016756057739257812
dram-0,5141,0.0016756057739257812
package-1,64453,0.0016756057739257812
dram-1,6625,0.0016756057739257812
package-0,81787,0.0017142295837402344
dram-0,10266,0.0017142295837402344
package-1,57312,0.0017142295837402344
dram-1,6502,0.0017142295837402344
package-0,80810,0.0016841888427734375
dram-0,10573,0.0016841888427734375
package-1,59082,0.0016841888427734375
dram-1,6609,0.0016841888427734375
package-0,39001,0.0016455650329589844
dram-0,5339,0.0016455650329589844
package-1,28382,0.0016455650329589844
dram-1,3244,0.0016455650329589844
package-0,77698,0.0017459392547607422
dram-0,10496,0.0017459392547607422
package-1,30152,0.0017459392547607422
dram-1,3244,0.0017459392547607422
package-0,90454,0.0017275810241699219
dram-0,10939,0.0017275810241699219
package-1,58899,0.0017275810241699219
dram-1,6517,0.0017275810241699219
package-0,49804,0.002010822296142578
dram-0,11857,0.002010822296142578
package-1,60547,0.002010822296142578
dram-1,6824,0.002010822296142578
package-0,75744,0.0017628669738769531
dram-0,10694,0.0017628669738769531
package-1,58533,0.0017628669738769531
dram-1,3259,0.0017628669738769531
package-0,81482,0.0016791820526123047
dram-0,10481,0.0016791820526123047
package-1,58654,0.0016791820526123047
dram-1,6793,0.0016791820526123047
package-0,80505,0.0017473697662353516
dram-0,10389,0.0017473697662353516
package-1,59448,0.0017473697662353516
dram-1,3213,0.0017473697662353516
package-0,74096,0.0019190311431884766
dram-0,10236,0.0019190311431884766
package-1,58044,0.0019190311431884766
dram-1,6487,0.0019190311431884766
package-0,116210,0.0016407966613769531
dram-0,10832,0.0016407966613769531
package-1,75439,0.0016407966613769531
dram-1,6885,0.0016407966613769531
package-0,134826,0.001756429672241211
dram-0,12087,0.001756429672241211
package-1,59082,0.001756429672241211
dram-1,4697,0.001756429672241211
package-0,86486,0.0017707347869873047
dram-0,11903,0.0017707347869873047
package-1,82397,0.0017707347869873047
dram-1,6548,0.0017707347869873047
package-0,81360,0.0017399787902832031
dram-0,11001,0.0017399787902832031
package-1,57251,0.0017399787902832031
dram-1,7237,0.0017399787902832031
package-0,79468,0.0017023086547851562
dram-0,11720,0.0017023086547851562
package-1,55359,0.0017023086547851562
dram-1,6778,0.0017023086547851562
package-0,80078,0.0017352104187011719
dram-0,10786,0.0017352104187011719
package-1,61584,0.0017352104187011719
dram-1,6426,0.0017352104187011719
package-0,79224,0.0016999244689941406
dram-0,10924,0.0016999244689941406
package-1,59814,0.0016999244689941406
dram-1,6503,0.0016999244689941406
package-0,76415,0.0016973018646240234
dram-0,11047,0.0016973018646240234
package-1,28381,0.0016973018646240234
dram-1,3244,0.0016973018646240234
package-0,104492,0.001790761947631836
dram-0,12515,0.001790761947631836
package-1,71228,0.001790761947631836
dram-1,9134,0.001790761947631836
package-0,38635,0.0016603469848632812
dram-0,5309,0.0016603469848632812
package-1,48706,0.0016603469848632812
dram-1,6549,0.0016603469848632812
package-0,40710,0.0017368793487548828
dram-0,5539,0.0017368793487548828
package-1,27344,0.0017368793487548828
dram-1,3259,0.0017368793487548828
package-0,41138,0.0017290115356445312
dram-0,5355,0.0017290115356445312
package-1,59449,0.0017290115356445312
dram-1,6487,0.0017290115356445312

pkg_0:  [83130, 89660, 41687, 78247, 46570, 46020, 47669, 87769, 81787, 80810, 39001, 77698, 90454, 49804, 75744, 81482, 80505, 74096, 116210, 134826, 86486, 81360, 79468, 80078, 79224, 76415, 104492, 38635, 40710, 41138]
pkg_1:  [56274, 58044, 26794, 54260, 70007, 55725, 58411, 64453, 57312, 59082, 28382, 30152, 58899, 60547, 58533, 58654, 59448, 58044, 75439, 59082, 82397, 57251, 55359, 61584, 59814, 28381, 71228, 48706, 27344, 59449]
dram_0:  [11964, 12118, 5478, 10511, 5798, 14489, 5309, 5141, 10266, 10573, 5339, 10496, 10939, 11857, 10694, 10481, 10389, 10236, 10832, 12087, 11903, 11001, 11720, 10786, 10924, 11047, 12515, 5309, 5539, 5355]
dram_1:  [6762, 6931, 3259, 6518, 7053, 8369, 6487, 6625, 6502, 6609, 3244, 3244, 6517, 6824, 3259, 6793, 3213, 6487, 6885, 4697, 6548, 7237, 6778, 6426, 6503, 3244, 9134, 6549, 3259, 6487]
Average energy for package-0: 0.07370583333333333 microjoules
Average energy for package-1: 0.055301833333333335 microjoules
Average energy for dram-0: 0.009703199999999999 microjoules
Average energy for dram-1: 0.0059481 microjoules


Total Package Energy: 3.87023 joules
Total Dram Energy: 0.46953899999999993 joules


Total Package Energy: 0.387023 joules
Total Dram Energy: 0.0469539 joules
