Domain,Energy (Joules),Duration (s)
package-0,0,0.0004322528839111328
dram-0,0,0.0004322528839111328
package-1,0,0.0004322528839111328
dram-1,0,0.0004322528839111328
package-0,37292,0.00042128562927246094
dram-0,5905,0.00042128562927246094
package-1,28259,0.00042128562927246094
dram-1,3244,0.00042128562927246094
package-0,39917,0.0003600120544433594
dram-0,6166,0.0003600120544433594
package-1,26794,0.0003600120544433594
dram-1,3259,0.0003600120544433594
package-0,0,0.00039458274841308594
dram-0,0,0.00039458274841308594
package-1,0,0.00039458274841308594
dram-1,0,0.00039458274841308594
package-0,0,0.0003533363342285156
dram-0,0,0.0003533363342285156
package-1,0,0.0003533363342285156
dram-1,0,0.0003533363342285156
package-0,41015,0.0003514289855957031
dram-0,6029,0.0003514289855957031
package-1,0,0.0003514289855957031
dram-1,0,0.0003514289855957031
package-0,0,0.00040912628173828125
dram-0,5600,0.00040912628173828125
package-1,0,0.00040912628173828125
dram-1,3259,0.00040912628173828125
package-0,0,0.0007584095001220703
dram-0,0,0.0007584095001220703
package-1,0,0.0007584095001220703
dram-1,0,0.0007584095001220703
package-0,37475,0.00039958953857421875
dram-0,0,0.00039958953857421875
package-1,0,0.00039958953857421875
dram-1,0,0.00039958953857421875
package-0,40527,0.00041937828063964844
dram-0,6150,0.00041937828063964844
package-1,27832,0.00041937828063964844
dram-1,3259,0.00041937828063964844
package-0,0,0.0003440380096435547
dram-0,0,0.0003440380096435547
package-1,0,0.0003440380096435547
dram-1,0,0.0003440380096435547
package-0,0,0.00037550926208496094
dram-0,0,0.00037550926208496094
package-1,0,0.00037550926208496094
dram-1,0,0.00037550926208496094
package-0,38635,0.00034236907958984375
dram-0,6074,0.00034236907958984375
package-1,0,0.00034236907958984375
dram-1,0,0.00034236907958984375
package-0,0,0.0005235671997070312
dram-0,0,0.0005235671997070312
package-1,0,0.0005235671997070312
dram-1,0,0.0005235671997070312
package-0,37537,0.0004189014434814453
dram-0,5692,0.0004189014434814453
package-1,31860,0.0004189014434814453
dram-1,3213,0.0004189014434814453
package-0,0,0.0003933906555175781
dram-0,0,0.0003933906555175781
package-1,0,0.0003933906555175781
dram-1,0,0.0003933906555175781
package-0,0,0.0003917217254638672
dram-0,0,0.0003917217254638672
package-1,0,0.0003917217254638672
dram-1,0,0.0003917217254638672
package-0,0,0.0006289482116699219
dram-0,5921,0.0006289482116699219
package-1,0,0.0006289482116699219
dram-1,0,0.0006289482116699219
package-0,0,0.0003578662872314453
dram-0,0,0.0003578662872314453
package-1,28565,0.0003578662872314453
dram-1,0,0.0003578662872314453
package-0,0,0.0003542900085449219
dram-0,0,0.0003542900085449219
package-1,0,0.0003542900085449219
dram-1,0,0.0003542900085449219
package-0,28137,0.0004067420959472656
dram-0,6089,0.0004067420959472656
package-1,0,0.0004067420959472656
dram-1,3259,0.0004067420959472656
package-0,0,0.00042629241943359375
dram-0,0,0.00042629241943359375
package-1,27771,0.00042629241943359375
dram-1,3259,0.00042629241943359375
package-0,0,0.00039958953857421875
dram-0,0,0.00039958953857421875
package-1,0,0.00039958953857421875
dram-1,0,0.00039958953857421875
package-0,0,0.00041675567626953125
dram-0,0,0.00041675567626953125
package-1,0,0.00041675567626953125
dram-1,0,0.00041675567626953125
package-0,0,0.0003509521484375
dram-0,0,0.0003509521484375
package-1,27527,0.0003509521484375
dram-1,0,0.0003509521484375
package-0,0,0.0003495216369628906
dram-0,0,0.0003495216369628906
package-1,29358,0.0003495216369628906
dram-1,3259,0.0003495216369628906
package-0,38818,0.0003464221954345703
dram-0,5906,0.0003464221954345703
package-1,30579,0.0003464221954345703
dram-1,3244,0.0003464221954345703
package-0,41260,0.0004336833953857422
dram-0,6334,0.0004336833953857422
package-1,26306,0.0004336833953857422
dram-1,3289,0.0004336833953857422
package-0,0,0.00036025047302246094
dram-0,0,0.00036025047302246094
package-1,0,0.00036025047302246094
dram-1,0,0.00036025047302246094
package-0,0,0.0004100799560546875
dram-0,0,0.0004100799560546875
package-1,0,0.0004100799560546875
dram-1,0,0.0004100799560546875

pkg_0:  [0, 37292, 39917, 0, 0, 41015, 0, 0, 37475, 40527, 0, 0, 38635, 0, 37537, 0, 0, 0, 0, 0, 28137, 0, 0, 0, 0, 0, 38818, 41260, 0, 0]
pkg_1:  [0, 28259, 26794, 0, 0, 0, 0, 0, 0, 27832, 0, 0, 0, 0, 31860, 0, 0, 0, 28565, 0, 0, 27771, 0, 0, 27527, 29358, 30579, 26306, 0, 0]
dram_0:  [0, 5905, 6166, 0, 0, 6029, 5600, 0, 0, 6150, 0, 0, 6074, 0, 5692, 0, 0, 5921, 0, 0, 6089, 0, 0, 0, 0, 0, 5906, 6334, 0, 0]
dram_1:  [0, 3244, 3259, 0, 0, 0, 3259, 0, 0, 3259, 0, 0, 0, 0, 3213, 0, 0, 0, 0, 0, 3259, 3259, 0, 0, 0, 3259, 3244, 3289, 0, 0]
Average energy for package-0: 0.0126871 microjoules
Average energy for package-1: 0.009495033333333331 microjoules
Average energy for dram-0: 0.002195533333333333 microjoules
Average energy for dram-1: 0.0010848 microjoules


Total Package Energy: 0.6654639999999999 joules
Total Dram Energy: 0.09841 joules


Total Package Energy: 0.0665464 joules
Total Dram Energy: 0.009840999999999999 joules
