Domain,Energy (micro joules),Duration (s)
package-0,250671,0.006145477294921875
dram-0,36398,0.006145477294921875
package-1,177124,0.006145477294921875
dram-1,21160,0.006145477294921875
package-0,187804,0.004945516586303711
dram-0,27418,0.004945516586303711
package-1,143188,0.004945516586303711
dram-1,16478,0.004945516586303711
package-0,201294,0.0050013065338134766
dram-0,28259,0.0050013065338134766
package-1,142577,0.0050013065338134766
dram-1,17105,0.0050013065338134766
package-0,194396,0.005177974700927734
dram-0,28197,0.005177974700927734
package-1,171264,0.005177974700927734
dram-1,16646,0.005177974700927734
package-0,200317,0.004884958267211914
dram-0,28152,0.004884958267211914
package-1,147827,0.004884958267211914
dram-1,13142,0.004884958267211914
package-0,215271,0.005274534225463867
dram-0,33369,0.005274534225463867
package-1,158936,0.005274534225463867
dram-1,19247,0.005274534225463867
package-0,161926,0.00464320182800293
dram-0,22353,0.00464320182800293
package-1,111511,0.00464320182800293
dram-1,13571,0.00464320182800293
package-0,206115,0.004556417465209961
dram-0,28993,0.004556417465209961
package-1,151733,0.004556417465209961
dram-1,14474,0.004556417465209961
package-0,207031,0.005834817886352539
dram-0,27800,0.005834817886352539
package-1,173217,0.005834817886352539
dram-1,16967,0.005834817886352539
package-0,199951,0.004662513732910156
dram-0,21527,0.004662513732910156
package-1,114197,0.004662513732910156
dram-1,13295,0.004662513732910156
package-0,221252,0.00529789924621582
dram-0,33078,0.00529789924621582
package-1,149841,0.00529789924621582
dram-1,18253,0.00529789924621582
package-0,201782,0.005417346954345703
dram-0,27341,0.005417346954345703
package-1,120300,0.005417346954345703
dram-1,19767,0.005417346954345703
package-0,204407,0.005009174346923828
dram-0,28183,0.005009174346923828
package-1,142029,0.005009174346923828
dram-1,13633,0.005009174346923828
package-0,246887,0.0064966678619384766
dram-0,33844,0.0064966678619384766
package-1,174255,0.0064966678619384766
dram-1,20517,0.0064966678619384766
package-0,202331,0.004640817642211914
dram-0,27968,0.004640817642211914
package-1,147521,0.004640817642211914
dram-1,17152,0.004640817642211914
package-0,195861,0.0048067569732666016
dram-0,29131,0.0048067569732666016
package-1,144226,0.0048067569732666016
dram-1,17442,0.0048067569732666016
package-0,200012,0.004706859588623047
dram-0,28045,0.004706859588623047
package-1,142944,0.004706859588623047
dram-1,13280,0.004706859588623047
package-0,182434,0.00486302375793457
dram-0,22966,0.00486302375793457
package-1,148864,0.00486302375793457
dram-1,17243,0.00486302375793457
package-0,197814,0.005053043365478516
dram-0,27265,0.005053043365478516
package-1,145630,0.005053043365478516
dram-1,16555,0.005053043365478516
package-0,206298,0.004901409149169922
dram-0,28213,0.004901409149169922
package-1,145690,0.004901409149169922
dram-1,16968,0.004901409149169922
package-0,165161,0.0048677921295166016
dram-0,22950,0.0048677921295166016
package-1,142273,0.0048677921295166016
dram-1,16647,0.0048677921295166016
package-0,160949,0.0046825408935546875
dram-0,22078,0.0046825408935546875
package-1,116699,0.0046825408935546875
dram-1,13295,0.0046825408935546875
package-0,200561,0.004690408706665039
dram-0,28061,0.004690408706665039
package-1,137390,0.004690408706665039
dram-1,16555,0.004690408706665039
package-0,215820,0.005063056945800781
dram-0,30202,0.005063056945800781
package-1,151000,0.005063056945800781
dram-1,18819,0.005063056945800781
package-0,203308,0.00470733642578125
dram-0,27938,0.00470733642578125
package-1,150146,0.00470733642578125
dram-1,16784,0.00470733642578125
package-0,203796,0.005026578903198242
dram-0,29513,0.005026578903198242
package-1,150024,0.005026578903198242
dram-1,17044,0.005026578903198242
package-0,201965,0.0048389434814453125
dram-0,27709,0.0048389434814453125
package-1,145446,0.0048389434814453125
dram-1,17519,0.0048389434814453125
package-0,203673,0.004939556121826172
dram-0,29040,0.004939556121826172
package-1,151184,0.004939556121826172
dram-1,17136,0.004939556121826172
package-0,209778,0.005468606948852539
dram-0,27372,0.005468606948852539
package-1,147400,0.005468606948852539
dram-1,16846,0.005468606948852539
package-0,203491,0.005007743835449219
dram-0,27663,0.005007743835449219
package-1,143799,0.005007743835449219
dram-1,16417,0.005007743835449219

pkg_0:  [250671, 187804, 201294, 194396, 200317, 215271, 161926, 206115, 207031, 199951, 221252, 201782, 204407, 246887, 202331, 195861, 200012, 182434, 197814, 206298, 165161, 160949, 200561, 215820, 203308, 203796, 201965, 203673, 209778, 203491]
pkg_1:  [177124, 143188, 142577, 171264, 147827, 158936, 111511, 151733, 173217, 114197, 149841, 120300, 142029, 174255, 147521, 144226, 142944, 148864, 145630, 145690, 142273, 116699, 137390, 151000, 150146, 150024, 145446, 151184, 147400, 143799]
dram_0:  [36398, 27418, 28259, 28197, 28152, 33369, 22353, 28993, 27800, 21527, 33078, 27341, 28183, 33844, 27968, 29131, 28045, 22966, 27265, 28213, 22950, 22078, 28061, 30202, 27938, 29513, 27709, 29040, 27372, 27663]
dram_1:  [21160, 16478, 17105, 16646, 13142, 19247, 13571, 14474, 16967, 13295, 18253, 19767, 13633, 20517, 17152, 17442, 13280, 17243, 16555, 16968, 16647, 13295, 16555, 18819, 16784, 17044, 17519, 17136, 16846, 16417]
Average energy for package-0: 0.20174519999999999 microjoules
Average energy for package-1: 0.1462745 microjoules
Average energy for dram-0: 0.0280342 microjoules
Average energy for dram-1: 0.01666523333333333 microjoules


Total Package Energy: 10.440591 joules
Total Dram Energy: 1.340983 joules


Total Package Energy: 1.0440591 joules
Total Dram Energy: 0.1340983 joules
