Domain,Energy (micro joules),Duration (s)
package-0,8229288,0.1841118335723877
dram-0,821840,0.1841118335723877
package-1,9561438,0.1841118335723877
dram-1,1045189,0.1841118335723877
package-0,8146036,0.18312788009643555
dram-0,808422,0.18312788009643555
package-1,9468238,0.18312788009643555
dram-1,1025819,0.18312788009643555
package-0,8063273,0.18105602264404297
dram-0,816453,0.18105602264404297
package-1,9850743,0.18105602264404297
dram-1,1042313,0.18105602264404297
package-0,8045084,0.1798241138458252
dram-0,813914,0.1798241138458252
package-1,9330299,0.1798241138458252
dram-1,1017649,0.1798241138458252
package-0,8355142,0.18540334701538086
dram-0,849594,0.18540334701538086
package-1,9687719,0.18540334701538086
dram-1,1058515,0.18540334701538086
package-0,8054972,0.1793498992919922
dram-0,821090,0.1793498992919922
package-1,9407020,0.1793498992919922
dram-1,1025253,0.1793498992919922
package-0,7969706,0.1800060272216797
dram-0,795936,0.1800060272216797
package-1,9314246,0.1800060272216797
dram-1,1009264,0.1800060272216797
package-0,8032694,0.17904353141784668
dram-0,817280,0.17904353141784668
package-1,9314979,0.17904353141784668
dram-1,1017817,0.17904353141784668
package-0,7986063,0.17955708503723145
dram-0,803327,0.17955708503723145
package-1,9312415,0.17955708503723145
dram-1,1013946,0.17955708503723145
package-0,8028605,0.17861032485961914
dram-0,827654,0.17861032485961914
package-1,9392066,0.17861032485961914
dram-1,1013885,0.17861032485961914
package-0,8142862,0.18027544021606445
dram-0,827914,0.18027544021606445
package-1,9660375,0.18027544021606445
dram-1,1028099,0.18027544021606445
package-0,8018657,0.18075847625732422
dram-0,797864,0.18075847625732422
package-1,9425208,0.18075847625732422
dram-1,1012952,0.18075847625732422
package-0,8036051,0.18148422241210938
dram-0,804275,0.18148422241210938
package-1,9494788,0.18148422241210938
dram-1,1019959,0.18148422241210938
package-0,7975993,0.1808490753173828
dram-0,799088,0.1808490753173828
package-1,9429968,0.1808490753173828
dram-1,1013334,0.1808490753173828
package-0,8195780,0.18160581588745117
dram-0,825970,0.18160581588745117
package-1,9530494,0.18160581588745117
dram-1,1033454,0.18160581588745117
package-0,8083292,0.18174123764038086
dram-0,814450,0.18174123764038086
package-1,9529822,0.18174123764038086
dram-1,1023692,0.18174123764038086
package-0,8145670,0.18271207809448242
dram-0,817127,0.18271207809448242
package-1,9567664,0.18271207809448242
dram-1,1028160,0.18271207809448242
package-0,7986552,0.18144583702087402
dram-0,799578,0.18144583702087402
package-1,9484167,0.18144583702087402
dram-1,1019806,0.18144583702087402
package-0,8135294,0.18311166763305664
dram-0,820677,0.18311166763305664
package-1,9760717,0.18311166763305664
dram-1,1036468,0.18311166763305664
package-0,8170085,0.18206024169921875
dram-0,829688,0.18206024169921875
package-1,9574072,0.18206024169921875
dram-1,1035014,0.18206024169921875
package-0,8142740,0.1828451156616211
dram-0,826338,0.1828451156616211
package-1,9593176,0.1828451156616211
dram-1,1036438,0.1828451156616211
package-0,8187174,0.1846003532409668
dram-0,816638,0.1846003532409668
package-1,9585425,0.1846003532409668
dram-1,1032092,0.1846003532409668
package-0,8065043,0.1822500228881836
dram-0,807366,0.1822500228881836
package-1,9516699,0.1822500228881836
dram-1,1026691,0.1822500228881836
package-0,8174661,0.18169331550598145
dram-0,805224,0.18169331550598145
package-1,9441871,0.18169331550598145
dram-1,1014160,0.18169331550598145
package-0,8220011,0.18434667587280273
dram-0,823507,0.18434667587280273
package-1,9672094,0.18434667587280273
dram-1,1043261,0.18434667587280273
package-0,8151102,0.18311715126037598
dram-0,822589,0.18311715126037598
package-1,9600012,0.18311715126037598
dram-1,1038227,0.18311715126037598
package-0,8383707,0.18341374397277832
dram-0,852409,0.18341374397277832
package-1,9648535,0.18341374397277832
dram-1,1045373,0.18341374397277832
package-0,8203898,0.18291521072387695
dram-0,840031,0.18291521072387695
package-1,9579199,0.18291521072387695
dram-1,1041456,0.18291521072387695
package-0,8277506,0.18411922454833984
dram-0,834845,0.18411922454833984
package-1,9614843,0.18411922454833984
dram-1,1039605,0.18411922454833984
package-0,8134928,0.18326354026794434
dram-0,823982,0.18326354026794434
package-1,9642126,0.18326354026794434
dram-1,1035780,0.18326354026794434

pkg_0:  [8229288, 8146036, 8063273, 8045084, 8355142, 8054972, 7969706, 8032694, 7986063, 8028605, 8142862, 8018657, 8036051, 7975993, 8195780, 8083292, 8145670, 7986552, 8135294, 8170085, 8142740, 8187174, 8065043, 8174661, 8220011, 8151102, 8383707, 8203898, 8277506, 8134928]
pkg_1:  [9561438, 9468238, 9850743, 9330299, 9687719, 9407020, 9314246, 9314979, 9312415, 9392066, 9660375, 9425208, 9494788, 9429968, 9530494, 9529822, 9567664, 9484167, 9760717, 9574072, 9593176, 9585425, 9516699, 9441871, 9672094, 9600012, 9648535, 9579199, 9614843, 9642126]
dram_0:  [821840, 808422, 816453, 813914, 849594, 821090, 795936, 817280, 803327, 827654, 827914, 797864, 804275, 799088, 825970, 814450, 817127, 799578, 820677, 829688, 826338, 816638, 807366, 805224, 823507, 822589, 852409, 840031, 834845, 823982]
dram_1:  [1045189, 1025819, 1042313, 1017649, 1058515, 1025253, 1009264, 1017817, 1013946, 1013885, 1028099, 1012952, 1019959, 1013334, 1033454, 1023692, 1028160, 1019806, 1036468, 1035014, 1036438, 1032092, 1026691, 1014160, 1043261, 1038227, 1045373, 1041456, 1039605, 1035780]
Average energy for package-0: 8.124728966666666 microjoules
Average energy for package-1: 9.533013933333333 microjoules
Average energy for dram-0: 0.8188356666666666 microjoules
Average energy for dram-1: 1.0291223666666667 microjoules


Total Package Energy: 529.7322869999999 joules
Total Dram Energy: 55.43874099999999 joules


Total Package Energy: 52.97322869999999 joules
Total Dram Energy: 5.5438741 joules
