Domain,Energy (micro joules),Duration (s)
package-0,29006884,0.5257184505462646
dram-0,3380872,0.5257184505462646
package-1,21987554,0.5257184505462646
dram-1,1767594,0.5257184505462646
package-0,29226183,0.5293681621551514
dram-0,3399936,0.5293681621551514
package-1,21914373,0.5293681621551514
dram-1,1758919,0.5293681621551514
package-0,29192980,0.5284872055053711
dram-0,3372150,0.5284872055053711
package-1,21985051,0.5284872055053711
dram-1,1755736,0.5284872055053711
package-0,29294297,0.5298819541931152
dram-0,3409406,0.5298819541931152
package-1,22039861,0.5298819541931152
dram-1,1762759,0.5298819541931152
package-0,29249742,0.5309667587280273
dram-0,3415297,0.5309667587280273
package-1,22137212,0.5309667587280273
dram-1,1785494,0.5309667587280273
package-0,29187852,0.5291671752929688
dram-0,3410324,0.5291671752929688
package-1,21963689,0.5291671752929688
dram-1,1760311,0.5291671752929688
package-0,29066576,0.528306245803833
dram-0,3396080,0.528306245803833
package-1,21969121,0.528306245803833
dram-1,1755017,0.528306245803833
package-0,29058946,0.5272786617279053
dram-0,3396524,0.5272786617279053
package-1,22000920,0.5272786617279053
dram-1,1769598,0.5272786617279053
package-0,29002367,0.5279076099395752
dram-0,3382126,0.5279076099395752
package-1,22023869,0.5279076099395752
dram-1,1752354,0.5279076099395752
package-0,29086412,0.5278418064117432
dram-0,3397763,0.5278418064117432
package-1,21972295,0.5278418064117432
dram-1,1755812,0.5278418064117432
package-0,29179246,0.5282211303710938
dram-0,3394351,0.5282211303710938
package-1,22015874,0.5282211303710938
dram-1,1762316,0.5282211303710938
package-0,29172899,0.5270636081695557
dram-0,3413568,0.5270636081695557
package-1,22035588,0.5270636081695557
dram-1,1778563,0.5270636081695557
package-0,29115038,0.5286104679107666
dram-0,3408060,0.5286104679107666
package-1,22013005,0.5286104679107666
dram-1,1752936,0.5286104679107666
package-0,29118639,0.5270993709564209
dram-0,3401664,0.5270993709564209
package-1,22116825,0.5270993709564209
dram-1,1779879,0.5270993709564209
package-0,29120042,0.5287356376647949
dram-0,3401282,0.5287356376647949
package-1,22064397,0.5287356376647949
