Domain,Energy (micro joules),Duration (s)
package-0,36576505,0.6650996208190918
dram-0,4248917,0.6650996208190918
package-1,27544057,0.6650996208190918
dram-1,2207178,0.6650996208190918
package-0,36781339,0.6667592525482178
dram-0,4269909,0.6667592525482178
package-1,27693533,0.6667592525482178
dram-1,2236324,0.6667592525482178
package-0,36984769,0.6709270477294922
dram-0,4321210,0.6709270477294922
package-1,27861440,0.6709270477294922
dram-1,2230419,0.6709270477294922
package-0,37149563,0.6730289459228516
dram-0,4296928,0.6730289459228516
package-1,27993764,0.6730289459228516
dram-1,2239002,0.6730289459228516
package-0,37237942,0.6747956275939941
dram-0,4359612,0.6747956275939941
package-1,28075490,0.6747956275939941
dram-1,2263252,0.6747956275939941
package-0,36957242,0.6717288494110107
dram-0,4315748,0.6717288494110107
package-1,28069997,0.6717288494110107
dram-1,2248779,0.6717288494110107
package-0,37161098,0.6752336025238037
dram-0,4322235,0.6752336025238037
package-1,28093983,0.6752336025238037
dram-1,2227634,0.6752336025238037
package-0,36999905,0.6717183589935303
dram-0,4331491,0.6717183589935303
package-1,27973927,0.6717183589935303
dram-1,2231689,0.6717183589935303
package-0,37040249,0.6713652610778809
dram-0,4317752,0.6713652610778809
package-1,27880055,0.6713652610778809
dram-1,2234014,0.6713652610778809
package-0,37034146,0.6731457710266113
dram-0,4314187,0.6731457710266113
package-1,28061085,0.6731457710266113
dram-1,2231628,0.6731457710266113
package-0,37231961,0.6747467517852783
dram-0,4338865,0.6747467517852783
package-1,28370594,0.6747467517852783
dram-1,2297968,0.6747467517852783
package-0,37021085,0.6703481674194336
dram-0,4319527,0.6703481674194336
package-1,27929250,0.6703481674194336
dram-1,2241343,0.6703481674194336
package-0,37195950,0.6733081340789795
dram-0,4316467,0.6733081340789795
package-1,28287648,0.6733081340789795
dram-1,2261263,0.6733081340789795
package-0,37213833,0.67301344871521
dram-0,4324438,0.67301344871521
package-1,28155079,0.67301344871521
dram-1,2291236,0.67301344871521
package-0,36840603,0.6701023578643799
dram-0,4300447,0.6701023578643799
package-1,27925954,0.6701023578643799
dram-1,2224666,0.6701023578643799
package-0,37040493,0.6724145412445068
dram-0,4340243,0.6724145412445068
package-1,28064260,0.6724145412445068
dram-1,2247172,0.6724145412445068
package-0,37137356,0.67330002784729
dram-0,4301167,0.67330002784729
package-1,27992971,0.67330002784729
dram-1,2234733,0.67330002784729
package-0,37260281,0.6749522686004639
dram-0,4338040,0.6749522686004639
package-1,28143117,0.6749522686004639
dram-1,2239109,0.6749522686004639
package-0,37156826,0.6730070114135742
dram-0,4344542,0.6730070114135742
package-1,28014576,0.6730070114135742
dram-1,2244204,0.6730070114135742
package-0,37141140,0.6730237007141113
dram-0,4321179,0.6730237007141113
package-1,28299000,0.6730237007141113
dram-1,2284427,0.6730237007141113
package-0,37132474,0.6723246574401855
dram-0,4347954,0.6723246574401855
package-1,28138844,0.6723246574401855
dram-1,2251288,0.6723246574401855
package-0,36991605,0.6725466251373291
dram-0,4322204,0.6725466251373291
package-1,28181324,0.6725466251373291
dram-1,2254363,0.6725466251373291
package-0,37041043,0.6716561317443848
dram-0,4318211,0.6716561317443848
package-1,28021962,0.6716561317443848
dram-1,2227604,0.6716561317443848
package-0,37127408,0.6717331409454346
dram-0,4334062,0.6717331409454346
package-1,27973317,0.6717331409454346
dram-1,2232668,0.6717331409454346
package-0,37117703,0.6710593700408936
dram-0,4311601,0.6710593700408936
package-1,28026661,0.6710593700408936
dram-1,2240165,0.6710593700408936
package-0,36929654,0.6714320182800293
dram-0,4298306,0.6714320182800293
package-1,27977101,0.6714320182800293
dram-1,2228491,0.6714320182800293
package-0,37060025,0.6722226142883301
dram-0,4325616,0.6722226142883301
package-1,28064015,0.6722226142883301
dram-1,2246607,0.6722226142883301
package-0,36881741,0.6714959144592285
dram-0,4290120,0.6714959144592285
package-1,27978322,0.6714959144592285
dram-1,2221698,0.6714959144592285
package-0,37095059,0.6722795963287354
dram-0,4338666,0.6722795963287354
package-1,27977956,0.6722795963287354
dram-1,2233662,0.6722795963287354
package-0,36870328,0.6694726943969727
dram-0,4289125,0.6694726943969727
package-1,27933461,0.6694726943969727
dram-1,2218393,0.6694726943969727

pkg_0:  [36576505, 36781339, 36984769, 37149563, 37237942, 36957242, 37161098, 36999905, 37040249, 37034146, 37231961, 37021085, 37195950, 37213833, 36840603, 37040493, 37137356, 37260281, 37156826, 37141140, 37132474, 36991605, 37041043, 37127408, 37117703, 36929654, 37060025, 36881741, 37095059, 36870328]
pkg_1:  [27544057, 27693533, 27861440, 27993764, 28075490, 28069997, 28093983, 27973927, 27880055, 28061085, 28370594, 27929250, 28287648, 28155079, 27925954, 28064260, 27992971, 28143117, 28014576, 28299000, 28138844, 28181324, 28021962, 27973317, 28026661, 27977101, 28064015, 27978322, 27977956, 27933461]
dram_0:  [4248917, 4269909, 4321210, 4296928, 4359612, 4315748, 4322235, 4331491, 4317752, 4314187, 4338865, 4319527, 4316467, 4324438, 4300447, 4340243, 4301167, 4338040, 4344542, 4321179, 4347954, 4322204, 4318211, 4334062, 4311601, 4298306, 4325616, 4290120, 4338666, 4289125]
dram_1:  [2207178, 2236324, 2230419, 2239002, 2263252, 2248779, 2227634, 2231689, 2234014, 2231628, 2297968, 2241343, 2261263, 2291236, 2224666, 2247172, 2234733, 2239109, 2244204, 2284427, 2251288, 2254363, 2227604, 2232668, 2240165, 2228491, 2246607, 2221698, 2233662, 2218393]
Average energy for package-0: 37.04697753333333 microjoules
Average energy for package-1: 28.023424766666665 microjoules
Average energy for dram-0: 4.3172923 microjoules
Average energy for dram-1: 2.2423659666666667 microjoules


Total Package Energy: 1952.1120689999998 joules
Total Dram Energy: 196.78974799999997 joules


Total Package Energy: 195.21120689999998 joules
Total Dram Energy: 19.6789748 joules
