Domain,Energy (micro joules),Duration (s)
package-0,34101414,0.6178913116455078
dram-0,3950337,0.6178913116455078
package-1,25743098,0.6178913116455078
dram-1,2058386,0.6178913116455078
package-0,34374667,0.620152473449707
dram-0,3980219,0.620152473449707
package-1,25877375,0.620152473449707
dram-1,2078735,0.620152473449707
package-0,33991368,0.6159942150115967
dram-0,3934334,0.6159942150115967
package-1,25718257,0.6159942150115967
dram-1,2042030,0.6159942150115967
package-0,34475253,0.625373363494873
dram-0,3999573,0.625373363494873
package-1,26281487,0.625373363494873
dram-1,2118438,0.625373363494873
package-0,34134312,0.6199691295623779
dram-0,3948991,0.6199691295623779
package-1,25811030,0.6199691295623779
dram-1,2055020,0.6199691295623779
package-0,33875951,0.614936351776123
dram-0,3923349,0.614936351776123
package-1,25545406,0.614936351776123
dram-1,2041663,0.614936351776123
package-0,34579013,0.6265213489532471
dram-0,4017260,0.6265213489532471
package-1,26133479,0.6265213489532471
dram-1,2091693,0.6265213489532471
package-0,34399509,0.6226530075073242
dram-0,3984947,0.6226530075073242
package-1,25971918,0.6226530075073242
dram-1,2076256,0.6226530075073242
package-0,34157384,0.6152184009552002
dram-0,3949634,0.6152184009552002
package-1,25669002,0.6152184009552002
dram-1,2046727,0.6152184009552002
package-0,34572605,0.6255149841308594
dram-0,3995947,0.6255149841308594
package-1,26124445,0.6255149841308594
dram-1,2080678,0.6255149841308594
package-0,34454990,0.6212131977081299
dram-0,3961400,0.6212131977081299
package-1,26062678,0.6212131977081299
dram-1,2104622,0.6212131977081299
package-0,34070286,0.6153280735015869
dram-0,3920641,0.6153280735015869
package-1,25608271,0.6153280735015869
dram-1,2044707,0.6153280735015869
package-0,34513889,0.6266880035400391
dram-0,3999221,0.6266880035400391
package-1,26085322,0.6266880035400391
dram-1,2080785,0.6266880035400391
package-0,34222874,0.6190652847290039
dram-0,3959732,0.6190652847290039
package-1,25928828,0.6190652847290039
dram-1,2096253,0.6190652847290039
package-0,34105443,0.6157956123352051
dram-0,3960038,0.6157956123352051
package-1,25741267,0.6157956123352051
dram-1,2064230,0.6157956123352051
package-0,34599277,0.6268060207366943
dram-0,3994830,0.6268060207366943
package-1,26110163,0.6268060207366943
dram-1,2085605,0.6268060207366943
package-0,34330173,0.621826171875
dram-0,3970962,0.621826171875
package-1,25904474,0.621826171875
dram-1,2073303,0.621826171875
package-0,34001438,0.6142256259918213
dram-0,3949114,0.6142256259918213
package-1,25819941,0.6142256259918213
dram-1,2080356,0.6142256259918213
package-0,34508701,0.6263003349304199
dram-0,4012379,0.6263003349304199
package-1,26109003,0.6263003349304199
dram-1,2071834,0.6263003349304199
package-0,34075597,0.61846923828125
dram-0,3955020,0.61846923828125
package-1,25828181,0.61846923828125
dram-1,2058018,0.61846923828125
package-0,33976231,0.6148808002471924
dram-0,3950154,0.6148808002471924
package-1,25744502,0.6148808002471924
dram-1,2050674,0.6148808002471924
package-0,34425510,0.625866174697876
dram-0,3996069,0.625866174697876
package-1,26282952,0.625866174697876
dram-1,2104730,0.625866174697876
package-0,33778539,0.6131811141967773
dram-0,3916479,0.6131811141967773
package-1,25593502,0.6131811141967773
dram-1,2035450,0.6131811141967773
package-0,33905797,0.6110210418701172
dram-0,3928596,0.6110210418701172
package-1,25634334,0.6110210418701172
dram-1,2070871,0.6110210418701172
package-0,34825960,0.6265146732330322
dram-0,4026761,0.6265146732330322
package-1,26266595,0.6265146732330322
dram-1,2120411,0.6265146732330322
package-0,34174717,0.6172330379486084
dram-0,3951194,0.6172330379486084
package-1,25798396,0.6172330379486084
dram-1,2067825,0.6172330379486084
package-0,34071690,0.6132857799530029
dram-0,3937195,0.6132857799530029
package-1,25666744,0.6132857799530029
dram-1,2061262,0.6132857799530029
package-0,34249973,0.6214301586151123
dram-0,3975552,0.6214301586151123
package-1,25967524,0.6214301586151123
dram-1,2063802,0.6214301586151123
package-0,34446078,0.6207020282745361
dram-0,3989031,0.6207020282745361
package-1,25995295,0.6207020282745361
dram-1,2077174,0.6207020282745361
package-0,33789953,0.6100060939788818
dram-0,3924588,0.6100060939788818
package-1,25453304,0.6100060939788818
dram-1,2030478,0.6100060939788818

pkg_0:  [34101414, 34374667, 33991368, 34475253, 34134312, 33875951, 34579013, 34399509, 34157384, 34572605, 34454990, 34070286, 34513889, 34222874, 34105443, 34599277, 34330173, 34001438, 34508701, 34075597, 33976231, 34425510, 33778539, 33905797, 34825960, 34174717, 34071690, 34249973, 34446078, 33789953]
pkg_1:  [25743098, 25877375, 25718257, 26281487, 25811030, 25545406, 26133479, 25971918, 25669002, 26124445, 26062678, 25608271, 26085322, 25928828, 25741267, 26110163, 25904474, 25819941, 26109003, 25828181, 25744502, 26282952, 25593502, 25634334, 26266595, 25798396, 25666744, 25967524, 25995295, 25453304]
dram_0:  [3950337, 3980219, 3934334, 3999573, 3948991, 3923349, 4017260, 3984947, 3949634, 3995947, 3961400, 3920641, 3999221, 3959732, 3960038, 3994830, 3970962, 3949114, 4012379, 3955020, 3950154, 3996069, 3916479, 3928596, 4026761, 3951194, 3937195, 3975552, 3989031, 3924588]
dram_1:  [2058386, 2078735, 2042030, 2118438, 2055020, 2041663, 2091693, 2076256, 2046727, 2080678, 2104622, 2044707, 2080785, 2096253, 2064230, 2085605, 2073303, 2080356, 2071834, 2058018, 2050674, 2104730, 2035450, 2070871, 2120411, 2067825, 2061262, 2063802, 2077174, 2030478]
Average energy for package-0: 34.239619733333335 microjoules
Average energy for package-1: 25.882559099999998 microjoules
Average energy for dram-0: 3.9654515666666663 microjoules
Average energy for dram-1: 2.0710672 microjoules


Total Package Energy: 1803.6653649999998 joules
Total Dram Energy: 181.095563 joules


Total Package Energy: 180.3665365 joules
Total Dram Energy: 18.1095563 joules
