Domain,Energy (micro joules),Duration (s)
package-0,252929,0.0034477710723876953
dram-0,32466,0.0034477710723876953
package-1,135193,0.0034477710723876953
dram-1,15392,0.0034477710723876953
package-0,222167,0.003434896469116211
dram-0,20777,0.003434896469116211
package-1,139709,0.003434896469116211
dram-1,9899,0.003434896469116211
package-0,235473,0.003061532974243164
dram-0,21083,0.003061532974243164
package-1,126770,0.003061532974243164
dram-1,9762,0.003061532974243164
package-0,225830,0.003333568572998047
dram-0,21558,0.003333568572998047
package-1,124328,0.003333568572998047
dram-1,10037,0.003333568572998047
package-0,164490,0.0031807422637939453
dram-0,20487,0.0031807422637939453
package-1,128845,0.0031807422637939453
dram-1,13357,0.0031807422637939453
package-0,167602,0.0030891895294189453
dram-0,20579,0.0030891895294189453
package-1,121704,0.0030891895294189453
dram-1,9777,0.0030891895294189453
package-0,162597,0.003120899200439453
dram-0,19768,0.003120899200439453
package-1,124450,0.003120899200439453
dram-1,9792,0.003120899200439453
package-0,172546,0.003192901611328125
dram-0,21588,0.003192901611328125
package-1,165588,0.003192901611328125
dram-1,13204,0.003192901611328125
package-0,168151,0.0031404495239257812
dram-0,20196,0.0031404495239257812
package-1,128295,0.0031404495239257812
dram-1,10022,0.0031404495239257812
package-0,169128,0.0031168460845947266
dram-0,20487,0.0031168460845947266
package-1,122680,0.0031168460845947266
dram-1,9792,0.0031168460845947266
package-0,174743,0.0029821395874023438
dram-0,21267,0.0029821395874023438
package-1,131164,0.0029821395874023438
dram-1,10006,0.0029821395874023438
package-0,232299,0.0031626224517822266
dram-0,28091,0.0031626224517822266
package-1,127196,0.0031626224517822266
dram-1,10129,0.0031626224517822266
package-0,166931,0.002958536148071289
dram-0,20365,0.002958536148071289
package-1,135253,0.002958536148071289
dram-1,9976,0.002958536148071289
package-0,171569,0.003278970718383789
dram-0,21680,0.003278970718383789
package-1,133545,0.003278970718383789
dram-1,10206,0.003278970718383789
package-0,170349,0.002968311309814453
dram-0,20670,0.002968311309814453
package-1,168823,0.002968311309814453
dram-1,10144,0.002968311309814453
package-0,169189,0.003106832504272461
dram-0,20609,0.003106832504272461
package-1,125854,0.003106832504272461
dram-1,10098,0.003106832504272461
package-0,174683,0.003217458724975586
dram-0,20380,0.003217458724975586
package-1,80627,0.003217458724975586
dram-1,9930,0.003217458724975586
package-0,166687,0.003160238265991211
dram-0,21098,0.003160238265991211
package-1,128662,0.003160238265991211
dram-1,10083,0.003160238265991211
package-0,169799,0.0031213760375976562
dram-0,21481,0.0031213760375976562
package-1,128295,0.0031213760375976562
dram-1,10021,0.0031213760375976562
package-0,241637,0.0031893253326416016
dram-0,23241,0.0031893253326416016
package-1,127319,0.0031893253326416016
dram-1,11047,0.0031893253326416016
package-0,164611,0.003003358840942383
dram-0,20226,0.003003358840942383
package-1,124939,0.003003358840942383
dram-1,9761,0.003003358840942383
package-0,222229,0.003195047378540039
dram-0,27663,0.003195047378540039
package-1,170227,0.003195047378540039
dram-1,10083,0.003195047378540039
package-0,171814,0.002927064895629883
dram-0,21909,0.002927064895629883
package-1,126098,0.002927064895629883
dram-1,10053,0.002927064895629883
package-0,222473,0.0035245418548583984
dram-0,27005,0.0035245418548583984
package-1,167480,0.0035245418548583984
dram-1,13709,0.0035245418548583984
package-0,110962,0.0030603408813476562
dram-0,13602,0.0030603408813476562
package-1,83068,0.0030603408813476562
dram-1,9731,0.0030603408813476562
package-0,228760,0.0034494400024414062
dram-0,28963,0.0034494400024414062
package-1,125977,0.0034494400024414062
dram-1,10328,0.0034494400024414062
package-0,149902,0.002966642379760742
dram-0,19982,0.002966642379760742
package-1,128113,0.002966642379760742
dram-1,9976,0.002966642379760742
package-0,112061,0.0031566619873046875
dram-0,20242,0.0031566619873046875
package-1,127441,0.0031566619873046875
dram-1,9945,0.0031566619873046875
package-0,167664,0.0030393600463867188
dram-0,20166,0.0030393600463867188
package-1,132690,0.0030393600463867188
dram-1,9731,0.0030393600463867188
package-0,168884,0.0033044815063476562
dram-0,19538,0.0033044815063476562
package-1,164184,0.0033044815063476562
dram-1,13281,0.0033044815063476562

pkg_0:  [252929, 222167, 235473, 225830, 164490, 167602, 162597, 172546, 168151, 169128, 174743, 232299, 166931, 171569, 170349, 169189, 174683, 166687, 169799, 241637, 164611, 222229, 171814, 222473, 110962, 228760, 149902, 112061, 167664, 168884]
pkg_1:  [135193, 139709, 126770, 124328, 128845, 121704, 124450, 165588, 128295, 122680, 131164, 127196, 135253, 133545, 168823, 125854, 80627, 128662, 128295, 127319, 124939, 170227, 126098, 167480, 83068, 125977, 128113, 127441, 132690, 164184]
dram_0:  [32466, 20777, 21083, 21558, 20487, 20579, 19768, 21588, 20196, 20487, 21267, 28091, 20365, 21680, 20670, 20609, 20380, 21098, 21481, 23241, 20226, 27663, 21909, 27005, 13602, 28963, 19982, 20242, 20166, 19538]
dram_1:  [15392, 9899, 9762, 10037, 13357, 9777, 9792, 13204, 10022, 9792, 10006, 10129, 9976, 10206, 10144, 10098, 9930, 10083, 10021, 11047, 9761, 10083, 10053, 13709, 9731, 10328, 9976, 9945, 9731, 13281]
Average energy for package-0: 0.18327196666666665 microjoules
Average energy for package-1: 0.1318172333333333 microjoules
Average energy for dram-0: 0.021905566666666664 microjoules
Average energy for dram-1: 0.0106424 microjoules


Total Package Energy: 9.452675999999999 joules
Total Dram Energy: 0.976439 joules


Total Package Energy: 0.9452676 joules
Total Dram Energy: 0.0976439 joules
