Domain,Energy (micro joules),Duration (s)
package-0,56397,0.0009438991546630859
dram-0,5539,0.0009438991546630859
package-1,39795,0.0009438991546630859
dram-1,3259,0.0009438991546630859
package-0,50964,0.0009210109710693359
dram-0,5508,0.0009210109710693359
package-1,39124,0.0009210109710693359
dram-1,3305,0.0009210109710693359
package-0,53650,0.0008244514465332031
dram-0,5585,0.0008244514465332031
package-1,41686,0.0008244514465332031
dram-1,3243,0.0008244514465332031
package-0,54321,0.0009343624114990234
dram-0,5600,0.0009343624114990234
package-1,0,0.0009343624114990234
dram-1,2968,0.0009343624114990234
package-0,47607,0.0008530616760253906
dram-0,7114,0.0008530616760253906
package-1,46326,0.0008530616760253906
dram-1,4008,0.0008530616760253906
package-0,0,0.0009205341339111328
dram-0,5477,0.0009205341339111328
package-1,0,0.0009205341339111328
dram-1,0,0.0009205341339111328
package-0,55786,0.0007731914520263672
dram-0,5615,0.0007731914520263672
package-1,39001,0.0007731914520263672
dram-1,3244,0.0007731914520263672
package-0,50293,0.0009131431579589844
dram-0,5539,0.0009131431579589844
package-1,55053,0.0009131431579589844
dram-1,3137,0.0009131431579589844
package-0,52734,0.000850677490234375
dram-0,5508,0.000850677490234375
package-1,39184,0.000850677490234375
dram-1,3259,0.000850677490234375
package-0,60974,0.0008254051208496094
dram-0,5401,0.0008254051208496094
package-1,40100,0.0008254051208496094
dram-1,3259,0.0008254051208496094
package-0,60974,0.0008363723754882812
dram-0,8155,0.0008363723754882812
package-1,35400,0.0008363723754882812
dram-1,3687,0.0008363723754882812
package-0,57251,0.0008425712585449219
dram-0,0,0.0008425712585449219
package-1,41382,0.0008425712585449219
dram-1,3917,0.0008425712585449219
package-0,54932,0.0009336471557617188
dram-0,5539,0.0009336471557617188
package-1,0,0.0009336471557617188
dram-1,0,0.0009336471557617188
package-0,57617,0.0008857250213623047
dram-0,8047,0.0008857250213623047
package-1,73913,0.0008857250213623047
dram-1,6931,0.0008857250213623047
package-0,52551,0.0008113384246826172
dram-0,5753,0.0008113384246826172
package-1,39673,0.0008113384246826172
dram-1,3259,0.0008113384246826172
package-0,51880,0.0012006759643554688
dram-0,5432,0.0012006759643554688
package-1,80383,0.0012006759643554688
dram-1,6487,0.0012006759643554688
package-0,49377,0.0013685226440429688
dram-0,5263,0.0013685226440429688
package-1,46142,0.0013685226440429688
dram-1,3228,0.0013685226440429688
package-0,0,0.0009474754333496094
dram-0,0,0.0009474754333496094
package-1,46081,0.0009474754333496094
dram-1,3687,0.0009474754333496094
package-0,50171,0.0008296966552734375
dram-0,5631,0.0008296966552734375
package-1,0,0.0008296966552734375
dram-1,0,0.0008296966552734375
package-0,0,0.0008304119110107422
dram-0,0,0.0008304119110107422
package-1,40405,0.0008304119110107422
dram-1,3258,0.0008304119110107422
package-0,110473,0.0011899471282958984
dram-0,12470,0.0011899471282958984
package-1,39856,0.0011899471282958984
dram-1,3258,0.0011899471282958984
package-0,105591,0.0010211467742919922
dram-0,11934,0.0010211467742919922
package-1,43762,0.0010211467742919922
dram-1,3228,0.0010211467742919922
package-0,0,0.0008232593536376953
dram-0,5523,0.0008232593536376953
package-1,43884,0.0008232593536376953
dram-1,3244,0.0008232593536376953
package-0,53345,0.0008008480072021484
dram-0,6028,0.0008008480072021484
package-1,40649,0.0008008480072021484
dram-1,3259,0.0008008480072021484
package-0,55175,0.0009133815765380859
dram-0,5707,0.0009133815765380859
package-1,38391,0.0009133815765380859
dram-1,3259,0.0009133815765380859
package-0,56031,0.0008671283721923828
dram-0,7895,0.0008671283721923828
package-1,40588,0.0008671283721923828
dram-1,3427,0.0008671283721923828
package-0,57251,0.0007979869842529297
dram-0,6181,0.0007979869842529297
package-1,65003,0.0007979869842529297
dram-1,5477,0.0007979869842529297
package-0,53405,0.0008299350738525391
dram-0,5508,0.0008299350738525391
package-1,0,0.0008299350738525391
dram-1,3259,0.0008299350738525391
package-0,55664,0.0007843971252441406
dram-0,5737,0.0007843971252441406
package-1,40344,0.0007843971252441406
dram-1,3259,0.0007843971252441406
package-0,63659,0.0008478164672851562
dram-0,5569,0.0008478164672851562
package-1,41992,0.0008478164672851562
dram-1,3259,0.0008478164672851562

pkg_0:  [56397, 50964, 53650, 54321, 47607, 0, 55786, 50293, 52734, 60974, 60974, 57251, 54932, 57617, 52551, 51880, 49377, 0, 50171, 0, 110473, 105591, 0, 53345, 55175, 56031, 57251, 53405, 55664, 63659]
pkg_1:  [39795, 39124, 41686, 0, 46326, 0, 39001, 55053, 39184, 40100, 35400, 41382, 0, 73913, 39673, 80383, 46142, 46081, 0, 40405, 39856, 43762, 43884, 40649, 38391, 40588, 65003, 0, 40344, 41992]
dram_0:  [5539, 5508, 5585, 5600, 7114, 5477, 5615, 5539, 5508, 5401, 8155, 0, 5539, 8047, 5753, 5432, 5263, 0, 5631, 0, 12470, 11934, 5523, 6028, 5707, 7895, 6181, 5508, 5737, 5569]
dram_1:  [3259, 3305, 3243, 2968, 4008, 0, 3244, 3137, 3259, 3259, 3687, 3917, 0, 6931, 3259, 6487, 3228, 3687, 0, 3258, 3258, 3228, 3244, 3259, 3259, 3427, 5477, 3259, 3259, 3259]
Average energy for package-0: 0.05093576666666667 microjoules
Average energy for package-1: 0.037937233333333334 microjoules
Average energy for dram-0: 0.005775266666666667 microjoules
Average energy for dram-1: 0.003302166666666667 microjoules


Total Package Energy: 2.6661900000000003 joules
Total Dram Energy: 0.272323 joules


Total Package Energy: 0.266619 joules
Total Dram Energy: 0.0272323 joules
