Domain,Energy (micro joules),Duration (s)
package-0,117248,0.0018169879913330078
dram-0,11965,0.0018169879913330078
package-1,43274,0.0018169879913330078
dram-1,4055,0.0018169879913330078
package-0,91491,0.0018305778503417969
dram-0,4406,0.0018305778503417969
package-1,103393,0.0018305778503417969
dram-1,11858,0.0018305778503417969
package-0,86669,0.0019106864929199219
dram-0,8813,0.0019106864929199219
package-1,107300,0.0019106864929199219
dram-1,12316,0.0019106864929199219
package-0,93689,0.002285480499267578
dram-0,9058,0.002285480499267578
package-1,120605,0.002285480499267578
dram-1,13143,0.002285480499267578
package-0,86730,0.001775503158569336
dram-0,8844,0.001775503158569336
package-1,103515,0.001775503158569336
dram-1,11246,0.001775503158569336
package-0,88684,0.001848459243774414
dram-0,8798,0.001848459243774414
package-1,105591,0.001848459243774414
dram-1,12301,0.001848459243774414
package-0,45410,0.0020470619201660156
dram-0,8783,0.0020470619201660156
package-1,107116,0.0020470619201660156
dram-1,12439,0.0020470619201660156
package-0,87097,0.0019154548645019531
dram-0,8782,0.0019154548645019531
package-1,103882,0.0019154548645019531
dram-1,12424,0.0019154548645019531
package-0,130371,0.0018246173858642578
dram-0,8538,0.0018246173858642578
package-1,100891,0.0018246173858642578
dram-1,12164,0.0018246173858642578
package-0,45471,0.001840353012084961
dram-0,8782,0.001840353012084961
package-1,105468,0.001840353012084961
dram-1,11995,0.001840353012084961
package-0,90698,0.0017659664154052734
dram-0,9103,0.0017659664154052734
package-1,104004,0.0017659664154052734
dram-1,12286,0.0017659664154052734
package-0,43701,0.0017611980438232422
dram-0,4406,0.0017611980438232422
package-1,99304,0.0017611980438232422
dram-1,12683,0.0017611980438232422
package-0,106567,0.0017437934875488281
dram-0,9624,0.0017437934875488281
package-1,106079,0.0017437934875488281
dram-1,11979,0.0017437934875488281
package-0,89111,0.001733541488647461
dram-0,4437,0.001733541488647461
package-1,48767,0.001733541488647461
dram-1,5599,0.001733541488647461
package-0,91003,0.0018420219421386719
dram-0,8843,0.0018420219421386719
package-1,49683,0.0018420219421386719
dram-1,5753,0.0018420219421386719
package-0,93689,0.001809835433959961
dram-0,8890,0.001809835433959961
package-1,52551,0.001809835433959961
dram-1,5967,0.001809835433959961
package-0,84655,0.0017442703247070312
dram-0,8844,0.0017442703247070312
package-1,51391,0.0017442703247070312
dram-1,5584,0.0017442703247070312
package-0,33875,0.0017251968383789062
dram-0,4376,0.0017251968383789062
package-1,104187,0.0017251968383789062
dram-1,12347,0.0017251968383789062
package-0,87951,0.0017900466918945312
dram-0,8813,0.0017900466918945312
package-1,100525,0.0017900466918945312
dram-1,11857,0.0017900466918945312
package-0,90210,0.0017812252044677734
dram-0,8782,0.0017812252044677734
package-1,98023,0.0017812252044677734
dram-1,11628,0.0017812252044677734
package-0,90393,0.001989126205444336
dram-0,8813,0.001989126205444336
package-1,100341,0.001989126205444336
dram-1,18116,0.001989126205444336
package-0,92102,0.0017938613891601562
dram-0,8767,0.0017938613891601562
package-1,102966,0.0017938613891601562
dram-1,11964,0.0017938613891601562
package-0,93994,0.0018646717071533203
dram-0,4391,0.0018646717071533203
package-1,105224,0.0018646717071533203
dram-1,6104,0.0018646717071533203
package-0,94727,0.0017554759979248047
dram-0,8783,0.0017554759979248047
package-1,119323,0.0017554759979248047
dram-1,11827,0.0017554759979248047
package-0,78491,0.0018455982208251953
dram-0,8844,0.0018455982208251953
package-1,104553,0.0018455982208251953
dram-1,11842,0.0018455982208251953
package-0,44922,0.0017817020416259766
dram-0,4406,0.0017817020416259766
package-1,104614,0.0017817020416259766
dram-1,12562,0.0017817020416259766
package-0,106201,0.0017995834350585938
dram-0,8905,0.0017995834350585938
package-1,108277,0.0017995834350585938
dram-1,12010,0.0017995834350585938
package-0,90820,0.0018091201782226562
dram-0,8767,0.0018091201782226562
package-1,103516,0.0018091201782226562
dram-1,12240,0.0018091201782226562
package-0,94544,0.001825094223022461
dram-0,8874,0.001825094223022461
package-1,106750,0.001825094223022461
dram-1,11904,0.001825094223022461
package-0,91248,0.0017905235290527344
dram-0,8782,0.0017905235290527344
package-1,52551,0.0017905235290527344
dram-1,5798,0.0017905235290527344

pkg_0:  [117248, 91491, 86669, 93689, 86730, 88684, 45410, 87097, 130371, 45471, 90698, 43701, 106567, 89111, 91003, 93689, 84655, 33875, 87951, 90210, 90393, 92102, 93994, 94727, 78491, 44922, 106201, 90820, 94544, 91248]
pkg_1:  [43274, 103393, 107300, 120605, 103515, 105591, 107116, 103882, 100891, 105468, 104004, 99304, 106079, 48767, 49683, 52551, 51391, 104187, 100525, 98023, 100341, 102966, 105224, 119323, 104553, 104614, 108277, 103516, 106750, 52551]
dram_0:  [11965, 4406, 8813, 9058, 8844, 8798, 8783, 8782, 8538, 8782, 9103, 4406, 9624, 4437, 8843, 8890, 8844, 4376, 8813, 8782, 8813, 8767, 4391, 8783, 8844, 4406, 8905, 8767, 8874, 8782]
dram_1:  [4055, 11858, 12316, 13143, 11246, 12301, 12439, 12424, 12164, 11995, 12286, 12683, 11979, 5599, 5753, 5967, 5584, 12347, 11857, 11628, 18116, 11964, 6104, 11827, 11842, 12562, 12010, 12240, 11904, 5798]
Average energy for package-0: 0.08539206666666667 microjoules
Average energy for package-1: 0.09412213333333333 microjoules
Average energy for dram-0: 0.008073966666666666 microjoules
Average energy for dram-1: 0.010799699999999999 microjoules


Total Package Energy: 5.385426 joules
Total Dram Energy: 0.56621 joules


Total Package Energy: 0.5385426 joules
Total Dram Energy: 0.056621 joules
