Domain,Energy (micro joules),Duration (s)
package-0,115173,0.0024290084838867188
dram-0,11934,0.0024290084838867188
package-1,125122,0.0024290084838867188
dram-1,10710,0.0024290084838867188
package-0,116638,0.0024566650390625
dram-0,11889,0.0024566650390625
package-1,84473,0.0024566650390625
dram-1,6472,0.0024566650390625
package-0,116516,0.0024766921997070312
dram-0,18314,0.0024766921997070312
package-1,80383,0.0024766921997070312
dram-1,6671,0.0024766921997070312
package-0,168945,0.0024263858795166016
dram-0,17503,0.0024263858795166016
package-1,121582,0.0024263858795166016
dram-1,9777,0.0024263858795166016
package-0,109375,0.002373218536376953
dram-0,12042,0.002373218536376953
package-1,80200,0.002373218536376953
dram-1,6518,0.002373218536376953
package-0,172729,0.0024454593658447266
dram-0,19033,0.0024454593658447266
package-1,84411,0.0024454593658447266
dram-1,6793,0.0024454593658447266
package-0,122619,0.002370595932006836
dram-0,12500,0.002370595932006836
package-1,128051,0.002370595932006836
dram-1,10435,0.002370595932006836
package-0,175780,0.0025069713592529297
dram-0,20089,0.0025069713592529297
package-1,128296,0.0025069713592529297
dram-1,10251,0.0025069713592529297
package-0,167541,0.0024738311767578125
dram-0,20364,0.0024738311767578125
package-1,84655,0.0024738311767578125
dram-1,6211,0.0024738311767578125
package-0,125732,0.002521991729736328
dram-0,13418,0.002521991729736328
package-1,76904,0.002521991729736328
dram-1,6808,0.002521991729736328
package-0,165221,0.0025758743286132812
dram-0,17962,0.0025758743286132812
package-1,129638,0.0025758743286132812
dram-1,6564,0.0025758743286132812
package-0,117554,0.0025153160095214844
dram-0,12393,0.0025153160095214844
package-1,82458,0.0025153160095214844
dram-1,7206,0.0025153160095214844
package-0,176880,0.0025663375854492188
dram-0,19615,0.0025663375854492188
package-1,131408,0.0025663375854492188
dram-1,9991,0.0025663375854492188
package-0,110779,0.002447843551635742
dram-0,12042,0.002447843551635742
package-1,127990,0.002447843551635742
dram-1,10419,0.002447843551635742
package-0,112732,0.002402067184448242
dram-0,12011,0.002402067184448242
package-1,123352,0.002402067184448242
dram-1,10021,0.002402067184448242
package-0,112305,0.0024690628051757812
dram-0,11996,0.0024690628051757812
package-1,77881,0.0024690628051757812
dram-1,6533,0.0024690628051757812
package-0,167908,0.0029027462005615234
dram-0,18069,0.0029027462005615234
package-1,127624,0.0029027462005615234
dram-1,9746,0.0029027462005615234
package-0,111267,0.002445697784423828
dram-0,12056,0.002445697784423828
package-1,127807,0.002445697784423828
dram-1,10007,0.002445697784423828
package-0,114441,0.0023593902587890625
dram-0,18589,0.0023593902587890625
package-1,86731,0.0023593902587890625
dram-1,6487,0.0023593902587890625
package-0,171020,0.002604246139526367
dram-0,18253,0.002604246139526367
package-1,123168,0.002604246139526367
dram-1,9976,0.002604246139526367
package-0,107605,0.0024271011352539062
dram-0,11736,0.0024271011352539062
package-1,87219,0.0024271011352539062
dram-1,6594,0.0024271011352539062
package-0,116455,0.002374410629272461
dram-0,12102,0.002374410629272461
package-1,85876,0.002374410629272461
dram-1,6488,0.002374410629272461
package-0,110962,0.0024161338806152344
dram-0,11720,0.0024161338806152344
package-1,125732,0.0024161338806152344
dram-1,9822,0.0024161338806152344
package-0,115234,0.0023636817932128906
dram-0,11858,0.0023636817932128906
package-1,129089,0.0023636817932128906
dram-1,10052,0.0023636817932128906
package-0,175353,0.002375364303588867
dram-0,18253,0.002375364303588867
package-1,127075,0.002375364303588867
dram-1,9991,0.002375364303588867
package-0,115173,0.00252532958984375
dram-0,11796,0.00252532958984375
package-1,87952,0.00252532958984375
dram-1,6518,0.00252532958984375
package-0,112121,0.0023925304412841797
dram-0,11858,0.0023925304412841797
package-1,86059,0.0023925304412841797
dram-1,6778,0.0023925304412841797
package-0,117309,0.002444028854370117
dram-0,12776,0.002444028854370117
package-1,94970,0.002444028854370117
dram-1,8017,0.002444028854370117
package-0,117310,0.0023992061614990234
dram-0,12224,0.0023992061614990234
package-1,126464,0.0023992061614990234
dram-1,10328,0.0023992061614990234
package-0,116638,0.0023903846740722656
dram-0,12240,0.0023903846740722656
package-1,82153,0.0023903846740722656
dram-1,6885,0.0023903846740722656

pkg_0:  [115173, 116638, 116516, 168945, 109375, 172729, 122619, 175780, 167541, 125732, 165221, 117554, 176880, 110779, 112732, 112305, 167908, 111267, 114441, 171020, 107605, 116455, 110962, 115234, 175353, 115173, 112121, 117309, 117310, 116638]
pkg_1:  [125122, 84473, 80383, 121582, 80200, 84411, 128051, 128296, 84655, 76904, 129638, 82458, 131408, 127990, 123352, 77881, 127624, 127807, 86731, 123168, 87219, 85876, 125732, 129089, 127075, 87952, 86059, 94970, 126464, 82153]
dram_0:  [11934, 11889, 18314, 17503, 12042, 19033, 12500, 20089, 20364, 13418, 17962, 12393, 19615, 12042, 12011, 11996, 18069, 12056, 18589, 18253, 11736, 12102, 11720, 11858, 18253, 11796, 11858, 12776, 12224, 12240]
dram_1:  [10710, 6472, 6671, 9777, 6518, 6793, 10435, 10251, 6211, 6808, 6564, 7206, 9991, 10419, 10021, 6533, 9746, 10007, 6487, 9976, 6594, 6488, 9822, 10052, 9991, 6518, 6778, 8017, 10328, 6885]
Average energy for package-0: 0.13184383333333333 microjoules
Average energy for package-1: 0.10549076666666667 microjoules
Average energy for dram-0: 0.0145545 microjoules
Average energy for dram-1: 0.0083023 microjoules


Total Package Energy: 7.120037999999999 joules
Total Dram Energy: 0.685704 joules


Total Package Energy: 0.7120038 joules
Total Dram Energy: 0.0685704 joules
