Domain,Energy (micro joules),Duration (s)
package-0,107421,0.0018284320831298828
dram-0,11521,0.0018284320831298828
package-1,90698,0.0018284320831298828
dram-1,8675,0.0018284320831298828
package-0,90942,0.0018458366394042969
dram-0,8782,0.0018458366394042969
package-1,50231,0.0018458366394042969
dram-1,12209,0.0018458366394042969
package-0,89843,0.0018205642700195312
dram-0,9043,0.0018205642700195312
package-1,97229,0.0018205642700195312
dram-1,11689,0.0018205642700195312
package-0,91186,0.002085447311401367
dram-0,8813,0.002085447311401367
package-1,102722,0.002085447311401367
dram-1,12041,0.002085447311401367
package-0,77575,0.00185394287109375
dram-0,8874,0.00185394287109375
package-1,106690,0.00185394287109375
dram-1,11720,0.00185394287109375
package-0,92834,0.0018420219421386719
dram-0,8798,0.0018420219421386719
package-1,104248,0.0018420219421386719
dram-1,12362,0.0018420219421386719
package-0,91065,0.0019910335540771484
dram-0,8904,0.0019910335540771484
package-1,101562,0.0019910335540771484
dram-1,12302,0.0019910335540771484
package-0,90576,0.0018253326416015625
dram-0,8752,0.0018253326416015625
package-1,51758,0.0018253326416015625
dram-1,6074,0.0018253326416015625
package-0,44068,0.001760721206665039
dram-0,4406,0.001760721206665039
package-1,105896,0.001760721206665039
dram-1,12393,0.001760721206665039
package-0,45715,0.0018613338470458984
dram-0,4407,0.0018613338470458984
package-1,107178,0.0018613338470458984
dram-1,11582,0.0018613338470458984
package-0,86975,0.0017883777618408203
dram-0,8904,0.0017883777618408203
package-1,101807,0.0017883777618408203
dram-1,11475,0.0017883777618408203
package-0,48523,0.0018782615661621094
dram-0,8782,0.0018782615661621094
package-1,101135,0.0018782615661621094
dram-1,12225,0.0018782615661621094
package-0,45654,0.0017547607421875
dram-0,4406,0.0017547607421875
package-1,52185,0.0017547607421875
dram-1,5799,0.0017547607421875
package-0,98266,0.002279520034790039
dram-0,9976,0.002279520034790039
package-1,100830,0.002279520034790039
dram-1,12194,0.002279520034790039
package-0,88622,0.00177001953125
dram-0,8843,0.00177001953125
package-1,106140,0.00177001953125
dram-1,12133,0.00177001953125
package-0,84229,0.0018584728240966797
dram-0,8844,0.0018584728240966797
package-1,105652,0.0018584728240966797
dram-1,11704,0.0018584728240966797
package-0,87524,0.0018804073333740234
dram-0,8813,0.0018804073333740234
package-1,108704,0.0018804073333740234
dram-1,5600,0.0018804073333740234
package-0,91003,0.0017380714416503906
dram-0,8844,0.0017380714416503906
package-1,100830,0.0017380714416503906
dram-1,12469,0.0017380714416503906
package-0,42358,0.0017762184143066406
dram-0,4407,0.0017762184143066406
package-1,100769,0.0017762184143066406
dram-1,11475,0.0017762184143066406
package-0,94360,0.0017237663269042969
dram-0,8782,0.0017237663269042969
package-1,104370,0.0017237663269042969
dram-1,12071,0.0017237663269042969
package-0,87463,0.0017540454864501953
dram-0,8844,0.0017540454864501953
package-1,97473,0.0017540454864501953
dram-1,11934,0.0017540454864501953
package-0,43823,0.001825571060180664
dram-0,4407,0.001825571060180664
package-1,67017,0.001825571060180664
dram-1,5814,0.001825571060180664
package-0,88806,0.001959085464477539
dram-0,8766,0.001959085464477539
package-1,109619,0.001959085464477539
dram-1,14000,0.001959085464477539
package-0,100830,0.0019350051879882812
dram-0,8721,0.0019350051879882812
package-1,96923,0.0019350051879882812
dram-1,11888,0.0019350051879882812
package-0,89355,0.0017666816711425781
dram-0,8812,0.0017666816711425781
package-1,103272,0.0017666816711425781
dram-1,12454,0.0017666816711425781
package-0,132874,0.0019118785858154297
dram-0,8828,0.0019118785858154297
package-1,94543,0.0019118785858154297
dram-1,12210,0.0019118785858154297
package-0,43517,0.0021326541900634766
dram-0,8813,0.0021326541900634766
package-1,95336,0.0021326541900634766
dram-1,11338,0.0021326541900634766
package-0,91003,0.00174713134765625
dram-0,8843,0.00174713134765625
package-1,105773,0.00174713134765625
dram-1,12087,0.00174713134765625
package-0,49378,0.0018362998962402344
dram-0,8904,0.0018362998962402344
package-1,109802,0.0018362998962402344
dram-1,12148,0.0018362998962402344
package-0,104247,0.0018002986907958984
dram-0,8751,0.0018002986907958984
package-1,48522,0.0018002986907958984
dram-1,5967,0.0018002986907958984

pkg_0:  [107421, 90942, 89843, 91186, 77575, 92834, 91065, 90576, 44068, 45715, 86975, 48523, 45654, 98266, 88622, 84229, 87524, 91003, 42358, 94360, 87463, 43823, 88806, 100830, 89355, 132874, 43517, 91003, 49378, 104247]
pkg_1:  [90698, 50231, 97229, 102722, 106690, 104248, 101562, 51758, 105896, 107178, 101807, 101135, 52185, 100830, 106140, 105652, 108704, 100830, 100769, 104370, 97473, 67017, 109619, 96923, 103272, 94543, 95336, 105773, 109802, 48522]
dram_0:  [11521, 8782, 9043, 8813, 8874, 8798, 8904, 8752, 4406, 4407, 8904, 8782, 4406, 9976, 8843, 8844, 8813, 8844, 4407, 8782, 8844, 4407, 8766, 8721, 8812, 8828, 8813, 8843, 8904, 8751]
dram_1:  [8675, 12209, 11689, 12041, 11720, 12362, 12302, 6074, 12393, 11582, 11475, 12225, 5799, 12194, 12133, 11704, 5600, 12469, 11475, 12071, 11934, 5814, 14000, 11888, 12454, 12210, 11338, 12087, 12148, 5967]
Average energy for package-0: 0.08066783333333333 microjoules
Average energy for package-1: 0.09429713333333332 microjoules
Average energy for dram-0: 0.008219666666666665 microjoules
Average energy for dram-1: 0.0109344 microjoules


Total Package Energy: 5.248949 joules
Total Dram Energy: 0.574622 joules


Total Package Energy: 0.5248948999999999 joules
Total Dram Energy: 0.0574622 joules
