Domain,Energy (micro joules),Duration (s)
package-0,120056,0.002229928970336914
dram-0,12072,0.002229928970336914
package-1,83190,0.002229928970336914
dram-1,8782,0.002229928970336914
package-0,90515,0.0020248889923095703
dram-0,13893,0.0020248889923095703
package-1,103698,0.0020248889923095703
dram-1,11414,0.0020248889923095703
package-0,92468,0.0020148754119873047
dram-0,8783,0.0020148754119873047
package-1,110473,0.0020148754119873047
dram-1,12378,0.0020148754119873047
package-0,130676,0.002032756805419922
dram-0,8813,0.002032756805419922
package-1,104186,0.002032756805419922
dram-1,12163,0.002032756805419922
package-0,90332,0.0023605823516845703
dram-0,8782,0.0023605823516845703
package-1,98572,0.0023605823516845703
dram-1,11185,0.0023605823516845703
package-0,88012,0.002084016799926758
dram-0,8813,0.002084016799926758
package-1,107300,0.002084016799926758
dram-1,11260,0.002084016799926758
package-0,89050,0.0020837783813476562
dram-0,8813,0.0020837783813476562
package-1,102844,0.0020837783813476562
dram-1,12194,0.0020837783813476562
package-0,89783,0.001955270767211914
dram-0,8782,0.001955270767211914
package-1,104125,0.001955270767211914
dram-1,11873,0.001955270767211914
package-0,90087,0.002470731735229492
dram-0,8783,0.002470731735229492
package-1,142944,0.002470731735229492
dram-1,17518,0.002470731735229492
package-0,89355,0.0018639564514160156
dram-0,8843,0.0018639564514160156
package-1,98572,0.0018639564514160156
dram-1,11995,0.0018639564514160156
package-0,88562,0.0020246505737304688
dram-0,8813,0.0020246505737304688
package-1,105408,0.0020246505737304688
dram-1,11903,0.0020246505737304688
package-0,84412,0.002015352249145508
dram-0,8828,0.002015352249145508
package-1,103333,0.002015352249145508
dram-1,12485,0.002015352249145508
package-0,82885,0.002010822296142578
dram-0,9072,0.002010822296142578
package-1,103454,0.002010822296142578
dram-1,11735,0.002010822296142578
package-0,90393,0.0019996166229248047
dram-0,8874,0.0019996166229248047
package-1,112366,0.0019996166229248047
dram-1,11751,0.0019996166229248047
package-0,86303,0.0019257068634033203
dram-0,8813,0.0019257068634033203
package-1,104370,0.0019257068634033203
dram-1,12454,0.0019257068634033203
package-0,84350,0.002023935317993164
dram-0,8812,0.002023935317993164
package-1,110901,0.002023935317993164
dram-1,11842,0.002023935317993164
package-0,88805,0.002125263214111328
dram-0,13189,0.002125263214111328
package-1,106201,0.002125263214111328
dram-1,11842,0.002125263214111328
package-0,88622,0.0022056102752685547
dram-0,8813,0.0022056102752685547
package-1,104003,0.0022056102752685547
dram-1,11812,0.0022056102752685547
package-0,90026,0.0018601417541503906
dram-0,8813,0.0018601417541503906
package-1,103515,0.0018601417541503906
dram-1,12393,0.0018601417541503906
package-0,88439,0.0020911693572998047
dram-0,8782,0.0020911693572998047
package-1,107666,0.0020911693572998047
dram-1,11260,0.0020911693572998047
package-0,133605,0.002251863479614258
dram-0,8783,0.002251863479614258
package-1,148864,0.002251863479614258
dram-1,17656,0.002251863479614258
package-0,85937,0.001989126205444336
dram-0,8797,0.001989126205444336
package-1,155517,0.001989126205444336
dram-1,18146,0.001989126205444336
package-0,88318,0.0018994808197021484
dram-0,8936,0.0018994808197021484
package-1,109131,0.0018994808197021484
dram-1,12164,0.0018994808197021484
package-0,85266,0.0018877983093261719
dram-0,8813,0.0018877983093261719
package-1,104065,0.0018877983093261719
dram-1,12102,0.0018877983093261719
package-0,95947,0.0019099712371826172
dram-0,8782,0.0019099712371826172
package-1,109375,0.0019099712371826172
dram-1,11429,0.0019099712371826172
package-0,130309,0.002971649169921875
dram-0,13204,0.002971649169921875
package-1,142822,0.002971649169921875
dram-1,16799,0.002971649169921875
package-0,85632,0.0019283294677734375
dram-0,8812,0.0019283294677734375
package-1,104797,0.0019283294677734375
dram-1,11582,0.0019283294677734375
package-0,84839,0.0018820762634277344
dram-0,8813,0.0018820762634277344
package-1,58227,0.0018820762634277344
dram-1,5768,0.0018820762634277344
package-0,95520,0.0019383430480957031
dram-0,8751,0.0019383430480957031
package-1,103271,0.0019383430480957031
dram-1,11750,0.0019383430480957031
package-0,137146,0.0020575523376464844
dram-0,9287,0.0020575523376464844
package-1,104431,0.0020575523376464844
dram-1,11765,0.0020575523376464844

pkg_0:  [120056, 90515, 92468, 130676, 90332, 88012, 89050, 89783, 90087, 89355, 88562, 84412, 82885, 90393, 86303, 84350, 88805, 88622, 90026, 88439, 133605, 85937, 88318, 85266, 95947, 130309, 85632, 84839, 95520, 137146]
pkg_1:  [83190, 103698, 110473, 104186, 98572, 107300, 102844, 104125, 142944, 98572, 105408, 103333, 103454, 112366, 104370, 110901, 106201, 104003, 103515, 107666, 148864, 155517, 109131, 104065, 109375, 142822, 104797, 58227, 103271, 104431]
dram_0:  [12072, 13893, 8783, 8813, 8782, 8813, 8813, 8782, 8783, 8843, 8813, 8828, 9072, 8874, 8813, 8812, 13189, 8813, 8813, 8782, 8783, 8797, 8936, 8813, 8782, 13204, 8812, 8813, 8751, 9287]
dram_1:  [8782, 11414, 12378, 12163, 11185, 11260, 12194, 11873, 17518, 11995, 11903, 12485, 11735, 11751, 12454, 11842, 11842, 11812, 12393, 11260, 17656, 18146, 12164, 12102, 11429, 16799, 11582, 5768, 11750, 11765]
Average energy for package-0: 0.09552166666666667 microjoules
Average energy for package-1: 0.10858736666666666 microjoules
Average energy for dram-0: 0.009405466666666666 microjoules
Average energy for dram-1: 0.012313333333333334 microjoules


Total Package Energy: 6.123271 joules
Total Dram Energy: 0.651564 joules


Total Package Energy: 0.6123271 joules
Total Dram Energy: 0.0651564 joules
