Domain,Energy (micro joules),Duration (s)
package-0,492186,0.010145187377929688
dram-0,48609,0.010145187377929688
package-1,518859,0.010145187377929688
dram-1,55202,0.010145187377929688
package-0,437072,0.010205268859863281
dram-0,44217,0.010205268859863281
package-1,522154,0.010205268859863281
dram-1,55202,0.010205268859863281
package-0,448363,0.010121583938598633
dram-0,48562,0.010121583938598633
package-1,525206,0.010121583938598633
dram-1,55156,0.010121583938598633
package-0,450927,0.010197877883911133
dram-0,44278,0.010197877883911133
package-1,520323,0.010197877883911133
dram-1,55034,0.010197877883911133
package-0,445067,0.010220050811767578
dram-0,43942,0.010220050811767578
package-1,524656,0.010220050811767578
dram-1,55141,0.010220050811767578
package-0,451781,0.010376214981079102
dram-0,45349,0.010376214981079102
package-1,577818,0.010376214981079102
dram-1,60725,0.010376214981079102
package-0,490477,0.010946035385131836
dram-0,49357,0.010946035385131836
package-1,572936,0.010946035385131836
dram-1,60787,0.010946035385131836
package-0,445006,0.010124444961547852
dram-0,44125,0.010124444961547852
package-1,522764,0.010124444961547852
dram-1,55202,0.010124444961547852
package-0,487975,0.010839462280273438
dram-0,48669,0.010839462280273438
package-1,565916,0.010839462280273438
dram-1,60756,0.010839462280273438
package-0,488341,0.010640859603881836
dram-0,48700,0.010640859603881836
package-1,569639,0.010640859603881836
dram-1,55157,0.010640859603881836
package-0,411193,0.010017871856689453
dram-0,39765,0.010017871856689453
package-1,521849,0.010017871856689453
dram-1,55172,0.010017871856689453
package-0,443358,0.010061264038085938
dram-0,44172,0.010061264038085938
package-1,521238,0.010061264038085938
dram-1,55202,0.010061264038085938
package-0,442504,0.010127067565917969
dram-0,44217,0.010127067565917969
package-1,525389,0.010127067565917969
dram-1,55187,0.010127067565917969
package-0,444823,0.01018381118774414
dram-0,44783,0.01018381118774414
package-1,523741,0.01018381118774414
dram-1,55096,0.01018381118774414
package-0,496032,0.010558366775512695
dram-0,45150,0.010558366775512695
package-1,578184,0.010558366775512695
dram-1,60710,0.010558366775512695
package-0,446410,0.010090827941894531
dram-0,48592,0.010090827941894531
package-1,526427,0.010090827941894531
dram-1,55294,0.010090827941894531
package-0,454283,0.010331869125366211
dram-0,44293,0.010331869125366211
package-1,527525,0.010331869125366211
dram-1,55080,0.010331869125366211
package-0,445250,0.010203123092651367
dram-0,44324,0.010203123092651367
package-1,578551,0.010203123092651367
dram-1,60634,0.010203123092651367
package-0,505858,0.01044917106628418
dram-0,54759,0.01044917106628418
package-1,586791,0.01044917106628418
dram-1,56182,0.01044917106628418
package-0,488464,0.01094675064086914
dram-0,48531,0.01094675064086914
package-1,567991,0.01094675064086914
dram-1,54728,0.01094675064086914
package-0,487548,0.010417938232421875
dram-0,48685,0.010417938232421875
package-1,535338,0.010417938232421875
dram-1,55141,0.010417938232421875
package-0,453185,0.01043391227722168
dram-0,45150,0.01043391227722168
package-1,637633,0.01043391227722168
dram-1,62393,0.01043391227722168
package-0,439086,0.010091543197631836
dram-0,44186,0.010091543197631836
package-1,558958,0.010091543197631836
dram-1,60756,0.010091543197631836
package-0,444457,0.010113239288330078
dram-0,45196,0.010113239288330078
package-1,525817,0.010113239288330078
dram-1,55324,0.010113239288330078
package-0,436279,0.010059118270874023
dram-0,44248,0.010059118270874023
package-1,528197,0.010059118270874023
dram-1,55141,0.010059118270874023
package-0,501097,0.010376453399658203
dram-0,52112,0.010376453399658203
package-1,527647,0.010376453399658203
dram-1,60863,0.010376453399658203
package-0,447081,0.01040792465209961
dram-0,44248,0.01040792465209961
package-1,578185,0.01040792465209961
dram-1,60695,0.01040792465209961
package-0,447142,0.010082244873046875
dram-0,44110,0.010082244873046875
package-1,517271,0.010082244873046875
dram-1,55172,0.010082244873046875
package-0,484679,0.010818958282470703
dram-0,48654,0.010818958282470703
package-1,571837,0.010818958282470703
dram-1,60817,0.010818958282470703
package-0,449523,0.0100555419921875
dram-0,43942,0.0100555419921875
package-1,531187,0.0100555419921875
dram-1,55172,0.0100555419921875

pkg_0:  [492186, 437072, 448363, 450927, 445067, 451781, 490477, 445006, 487975, 488341, 411193, 443358, 442504, 444823, 496032, 446410, 454283, 445250, 505858, 488464, 487548, 453185, 439086, 444457, 436279, 501097, 447081, 447142, 484679, 449523]
pkg_1:  [518859, 522154, 525206, 520323, 524656, 577818, 572936, 522764, 565916, 569639, 521849, 521238, 525389, 523741, 578184, 526427, 527525, 578551, 586791, 567991, 535338, 637633, 558958, 525817, 528197, 527647, 578185, 517271, 571837, 531187]
dram_0:  [48609, 44217, 48562, 44278, 43942, 45349, 49357, 44125, 48669, 48700, 39765, 44172, 44217, 44783, 45150, 48592, 44293, 44324, 54759, 48531, 48685, 45150, 44186, 45196, 44248, 52112, 44248, 44110, 48654, 43942]
dram_1:  [55202, 55202, 55156, 55034, 55141, 60725, 60787, 55202, 60756, 55157, 55172, 55202, 55187, 55096, 60710, 55294, 55080, 60634, 56182, 54728, 55141, 62393, 60756, 55324, 55141, 60863, 60695, 55172, 60817, 55172]
Average energy for package-0: 0.46018156666666665 microjoules
Average energy for package-1: 0.5463342333333333 microjoules
Average energy for dram-0: 0.046164166666666666 microjoules
Average energy for dram-1: 0.05710403333333333 microjoules


Total Package Energy: 30.195473999999997 joules
Total Dram Energy: 3.098046 joules


Total Package Energy: 3.0195474 joules
Total Dram Energy: 0.3098046 joules
