Domain,Energy (Joules),Duration (s)
package-0,1520321,0.03484463691711426
dram-0,156044,0.03484463691711426
package-1,1059567,0.03484463691711426
dram-1,111246,0.03484463691711426
package-0,1504147,0.03435087203979492
dram-0,156259,0.03435087203979492
package-1,1016477,0.03435087203979492
dram-1,111537,0.03435087203979492
package-0,1545345,0.034670352935791016
dram-0,161094,0.034670352935791016
package-1,1034238,0.034670352935791016
dram-1,114337,0.034670352935791016
package-0,1553707,0.03453493118286133
dram-0,161767,0.03453493118286133
package-1,1032590,0.03453493118286133
dram-1,114658,0.03453493118286133
package-0,1543026,0.034462690353393555
dram-0,159533,0.034462690353393555
package-1,1043638,0.034462690353393555
dram-1,114643,0.034462690353393555
package-0,1545528,0.03449606895446777
dram-0,154714,0.03449606895446777
package-1,1021054,0.03449606895446777
dram-1,110895,0.03449606895446777
package-0,1557186,0.03464365005493164
dram-0,160175,0.03464365005493164
package-1,1041135,0.03464365005493164
dram-1,114857,0.03464365005493164
package-0,1557797,0.03496050834655762
dram-0,162700,0.03496050834655762
package-1,1051450,0.03496050834655762
dram-1,114918,0.03496050834655762
package-0,1548824,0.034529924392700195
dram-0,160543,0.034529924392700195
package-1,1029172,0.034529924392700195
dram-1,111735,0.034529924392700195
package-0,1563656,0.03499960899353027
dram-0,160665,0.03499960899353027
package-1,1041623,0.03499960899353027
dram-1,114613,0.03499960899353027
